model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
Mammal	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	10	5	0.698970004	10.2808641	2.929444219	0.136953465	9.999957687	2	12	2.079441542	2.4	0.3	0.738121984	0	1.104314348	NA	158.3711296	0.964163663	1.476786726	1	0.313284283
Mammal	1000	6	0.77815125	9.570000001	3.44466065	-0.423188972	9.999944685	2	16	2.708050201	2.666666667	0.266666667	0.733490876	0.208333333	1.066963224	NA	179.028551	0.722718293	1.283570363	1	0.119148516
Mammal	1001	6	0.77815125	9.570000001	3.44466065	-0.423188972	9.999944685	2	16	2.708050201	2.666666667	0.266666667	0.733490876	0.208333333	1.066963224	NA	179.028551	0.722718293	1.283570363	1	0.124875287
Mammal	1002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1081	4	0.602059991	25.72100969	2.51410121	0.689012588	-1.99992847	3	9	1.791759469	2.25	0.916666667	0.649316191	0.75	0.907350832	NA	318.6647563	1.379350144	1.107744596	1	0.18574006
Mammal	1082	3	0.477121255	9.820176943	2.346534006	0.19732469	9.99992847	1	5	0.693147181	1.666666667	0.333333333	0.782178002	NA	1.069306801	NA	83.90867351	0.901011243	1.675982865	1	0.186097485
Mammal	1083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1084	4	0.602059991	10.44904577	2.42260892	0.927638281	9.999956252	0	8	1.098612289	2	0	0.737101487	0	1.142857143	NA	127.429564	1.415886732	2.714813174	1	0.160231675
Mammal	1085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1086	4	0.602059991	10.44904577	2.42260892	0.927638281	9.999956252	0	8	1.098612289	2	0	0.737101487	0	1.142857143	NA	127.429564	1.415886732	2.714813174	1	0.11819693
Mammal	1087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1088	4	0.602059991	10.44904577	2.42260892	0.927638281	9.999956252	0	8	1.098612289	2	0	0.737101487	0	1.142857143	NA	127.429564	1.415886732	2.714813174	1	0.100463036
Mammal	1089	4	0.602059991	10.44904577	2.42260892	0.927638281	9.999956252	0	8	1.098612289	2	0	0.737101487	0	1.142857143	NA	127.429564	1.415886732	2.714813174	1	0.100540018
Mammal	1090	4	0.602059991	10.44904577	2.42260892	0.927638281	9.999956252	0	8	1.098612289	2	0	0.737101487	0	1.142857143	NA	127.429564	1.415886732	2.714813174	1	0.096228317
Mammal	1091	4	0.602059991	10.44904577	2.42260892	0.927638281	9.999956252	0	8	1.098612289	2	0	0.737101487	0	1.142857143	NA	127.429564	1.415886732	2.714813174	1	0.094762222
Mammal	1092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1096	29	1.462397998	9.11	15.61366578	-3.467167374	-0.557886307	87	187	30.52875926	6.448275862	4.756157635	0.867587772	0.56349676	1.234544153	NA	892.9657236	-0.385907883	1.759553614	38	0.121671917
Mammal	1097	27	1.431363764	9.023057335	14.45236679	-3.415335377	-0.161144227	62	156	27.19655475	5.777777778	3.487179487	0.857042424	0.533531746	1.21926511	NA	813.9173815	-0.369147317	1.760000803	35	0.126192218
Mammal	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1124	22	1.342422681	7.89	12.30832016	-2.912188624	-0.417791198	57	125	21.92355519	5.681818182	4.893939394	0.834126689	0.525276575	1.156035476	NA	580.5089904	0.258112725	1.143976047	8	0.134128092
Mammal	1147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1168	32	1.505149978	8.939337767	12.82674147	-1.956103945	9.999955774	40	172	29.74436521	5.375	1.016129032	0.845350346	0.287698413	1.329973742	NA	981.8277439	-0.584134039	2.603655917	58	0.085398454
Mammal	1169	20	1.301029996	7.970059568	8.372764002	-1.709624165	9.999940278	24	94	17.51555307	4.7	0.957894737	0.788203105	0.314930556	1.218836922	NA	534.3243423	-0.269789439	2.407750559	1	0.097545405
Mammal	119	35	1.544068044	14.62452781	18.61891776	-3.174414845	2.417636035	57	201	33.67634517	5.742857143	1.843697479	0.914159231	0.391547619	1.329102173	NA	1705.17361	-0.725155093	2.151471462	56	0.108170189
Mammal	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1232	20	1.301029996	20.637543	8.774318625	-1.267262765	2.259433378	30	98	17.38387525	4.9	1.568421053	0.800530246	0.377926587	1.222447003	NA	1409.864405	-0.176925461	2.013048143	1	0.07750596
Mammal	1251	123	2.089905111	22.55975259	39.0171275	-3.896178584	-0.33284472	814	1386	140.9129242	11.26829268	11.44382247	0.689435924	0.461276449	1.071612195	NA	10173.47797	0.254037898	2.435836084	2	0.131495938
Mammal	1252	121	2.08278537	20.54444822	41.00792226	-4.058475153	-0.147532753	695	1261	136.1089031	10.4214876	10.1792011	0.745714474	0.451954005	1.162834698	NA	9048.690289	0.104688383	2.444638923	4	0.116571958
Mammal	1253	117	2.068185862	18.4	43.04354252	-4.214330509	0.047841811	579	1131	129.5296519	9.666666667	8.672413793	0.813219657	0.437227254	1.269419854	NA	7764.826779	-0.024562426	2.902682233	19	0.097618838
Mammal	1254	110	2.041392685	18.4	38.52075028	-4.34883043	0.166654533	474	994	121.1925428	9.036363636	6.916096747	0.789265681	0.445402645	1.239940388	NA	7292.079077	-0.027697231	3.078578171	12	0.113195333
Mammal	1255	98	1.991226076	17.06175459	35.48094596	-4.369502509	0.153527369	379	839	107.747192	8.56122449	5.156006733	0.795045419	0.456372703	1.240948539	NA	6030.025331	-0.248288022	3.190330648	31	0.108232396
Mammal	1256	89	1.949390007	15.9032316	32.53442189	-4.028495345	0.368086419	287	707	96.37454056	7.943820225	3.939989785	0.809571693	0.449443994	1.267920833	NA	5094.308397	-0.43304479	3.01480766	21	0.106941486
Mammal	1257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1259	8	0.903089987	9.679283133	4.735898694	-1.004274296	9.999954341	5	25	4.718498871	3.125	0.410714286	0.815001041	0.145833333	1.169389086	NA	241.9843125	0.075754178	1.350284975	1	0.093693652
Mammal	1260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	1290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
