tree	pair	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
pair1_afrotheria sister clade xenarthra.txt	1	31	1.491361694	69.45275902	8.174222082	1.295773433	0.893354137	63	179	30.62444263	5.774193548	2.580645161	0.70757272	0.499179894	1.19528347	0.369088589	7742.370861	0.64596799	2.266693926	15	0.165223064
pair1_afrotheria.txt	1	86	1.934498451	83.05936807	19.75914055	-0.823020826	-0.083316355	365	751	94.70478471	8.73255814	7.280574555	0.770371732	0.416780897	1.32776727	0.316156318	26220.84501	0.242530026	2.519477927	164	0.200977532
pair2_cetartiodactyla sister clade carnivora perrisodactyla.txt	2	324	2.51054501	76.9965197	41.81558665	0.112212878	-0.601638948	2210	4082	406.4485429	12.59876543	14.50724305	0.648442463	0.557499548	1.172330032	0.198721765	95551.15402	2.064562918	7.437276589	54	0.299736307
pair2_cetartiodactyla.txt	2	344	2.536558443	64.68900181	45.87841572	-0.021108725	-0.757230552	3053	4955	442.9794746	14.40406977	19.1277968	0.636044475	0.545419124	1.142909293	0.33258976	85560.35142	0.983799962	3.138505305	37	0.295429272
pair4_humminbirds sister clade swifts.txt	4	96	1.982271233	41.91884775	36.03756801	-4.169436393	-1.076047613	692	1106	129.1628269	11.52083333	19.93640351	0.795964438	0.604872616	1.229516101	0.227978797	14433.70086	-0.102449383	2.431199065	5	0.097342478
pair4_hummingbirds.txt	4	319	2.503790683	29.96640088	65.0384421	-3.957197021	-0.711415656	2285	4093	409.4810482	12.830721	19.95867589	0.680272687	0.585866689	1.160986353	0.185056199	35492.2486	0.878257764	3.927755666	3	0.225122379
pair5_lagomorpha sister clade rodentia.txt	5	2118	3.325925956	77.00117028	214.9204751	-6.354637513	-0.609690971	29528	44914	2688.093964	21.20585458	56.21835021	0.720444178	0.537006485	1.34015585	0.308353575	626016.556	0.606553655	4.581808177	5	0.327323448
pair5_lagomorpha.txt	5	94	1.973127854	51.54695038	16.52501438	-0.943957765	-0.99129753	507	927	122.4773075	9.861702128	14.35701213	0.642106548	0.614747083	1.123252203	0.453513049	17890.95267	0.580507345	2.048709782	1	0.253125926
pair6_passeriformes sister clade coraciiformes.txt	6	151	2.178976947	78.00283365	20.16884332	3.319287022	-0.715819879	1102	1802	188.9541768	11.93377483	20.75558499	0.671046188	0.566093699	1.218334306	0.486106016	45459.39293	0.441377373	2.387856073	119	0.295228261
pair6_passeriformes.txt	6	5911	3.771660959	74.03597415	653.2026255	-13.26809274	-0.740392254	102470	149430	7753.353966	25.27998647	59.53225421	0.741838488	0.569814646	1.373437377	0.154430009	1702068.845	0.459776066	4.983099351	1	0.318290479
pair8_storks sister clade pelicaniformes.txt	8	84	1.924279286	70.47052006	21.32161366	-1.313504676	-0.738868055	455	821	102.5885812	9.773809524	11.02051061	0.652786147	0.585125451	1.067085274	0.265646083	22054.81569	0.598651115	2.118560921	2	0.175950348
pair8_storks.txt	8	17	1.230448921	32.78191891	8.033484653	-1.591625192	9.999942069	18	74	14.21629272	4.352941176	0.867647059	0.796265808	0.348809524	1.187876365	0.307777431	1835.282699	-0.264730203	1.898411666	1	0.107865319
