model	simID	S	tree.length	PD	gamma	beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
etienne	113212	178	9.999999999	26.14800799	2.168607933	-0.268023427	916	1858	211.1090593	10.43820225	7.106328953	0.652667407	0.531920478	1.16653245	0.220006799	6782.935968	1.245778279	5.562676034	9	0.281897839
etienne	113232	110	10	18.1678718	2.258414674	0.163570916	391	933	121.8868905	8.481818182	5.628106756	0.744479789	0.458654102	1.337535876	0.362809865	4100.132106	-0.702167727	6.024873762	1	0.263634289
etienne	113311	28	10	6.459389476	2.674933917	0.116217375	67	165	28.3714704	5.892857143	2.914021164	0.615009943	0.530400387	1.046507917	0.397153834	1022.374765	1.160684688	2.841168038	13	0.198104279
etienne	113312	71	10	11.22259738	1.490467887	0.409346493	215	547	75.19628888	7.704225352	5.296981891	0.630780555	0.410414899	1.123435522	0.394249448	2652.631559	1.059409876	4.363652481	1	0.270732008
etienne	113321	27	10	6.528233817	2.230263278	-0.470612988	84	170	27.71434905	6.296296296	6.216524217	0.604172923	0.595601852	1.014508666	0.463280497	986.1977473	0.999372119	1.511886633	13	0.187023848
etienne	113322	601	9.999999999	88.50259305	2.865152955	-0.159667195	4447	8213	722.5860102	13.6655574	13.75296173	0.754721874	0.515463911	1.364741486	0.150114171	23054.87631	-0.781462103	7.055897511	12	0.28153787
etienne	113331	28	10	6.761740205	2.080297905	-1.003594911	103	203	32.13077711	7.25	5.305555556	0.488756972	0.503313353	0.77800918	0.216424936	1041.725896	2.482730523	2.597624434	5	0.187375935
etienne	113332	41	10	7.783403654	2.871627921	-0.801306988	157	301	47.92445511	7.341463415	7.580487805	0.613920477	0.672085739	1.071320749	0.410388057	1512.68893	0.862567461	1.959937976	1	0.238957647
etienne	123212	74	9.999999999	12.31233294	2.547668799	-0.416306027	321	649	85.5875211	8.77027027	5.576638282	0.507323696	0.542207952	0.865532117	0.156114301	2807.013818	2.60990887	3.856431342	4	0.262413882
etienne	123232	53	9.999999999	8.840129627	2.144107201	-0.12080106	176	390	57.15750626	7.358490566	8.657474601	0.631973967	0.43252938	1.123777889	0.496881295	1986.851167	0.394073773	1.772700454	1	0.262001861
etienne	123311	23	10	4.630465884	3.098366904	-0.472983424	60	136	22.90438445	5.913043478	4.173913043	0.519334559	0.435357143	0.893062341	0.430676243	854.908385	1.650448138	1.584579402	3	0.228310484
etienne	123312	28	10	7.355250317	1.785113063	-1.060528794	107	201	32.55063095	7.178571429	4.892857143	0.539363175	0.58819157	0.858680286	0.170950021	1035.683284	2.066085668	2.082822265	1	0.166109249
