model	simID	S	tree.length	PD	gamma	beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
etienne	11331	28	10	6.459389476	2.674933913	-0.889703799	86	184	31.34665815	6.571428571	3.661375661	0.572603855	0.558150183	0.960153702	NA	1044.817327	1.239240509	1.925146365	1	0.198104279
etienne	11332	27	9.999999999	6.528233818	2.230263275	0.300481193	61	155	26.7554987	5.740740741	2.968660969	0.623219542	0.539335664	1.053320643	NA	992.2088678	1.289077731	1.820564429	5	0.187023848
etienne	11333	28	10	6.761740205	2.080297902	3.196499112	48	150	27.00975195	5.357142857	1.645502646	0.715477804	0.51748145	1.239695237	NA	1015.202709	0.42007898	1.862667482	3	0.187375935
etienne	12331	23	10	4.630465884	3.098366904	0.106131654	47	123	22.72158201	5.347826087	2.600790514	0.649751497	0.513333333	1.159692525	NA	845.9298624	0.752304528	2.030005243	1	0.228310484
etienne	12332	23	10	4.812081431	2.718078254	-0.660622863	72	142	23.77895134	6.173913043	4.786561265	0.444963761	0.606481481	0.732576673	NA	844.7646767	1.96724148	2.842897696	6	0.220414155
etienne	12333	22	10	4.966810268	2.082691171	-0.257024416	34	114	22.59995452	5.181818182	2.155844156	0.646547901	0.532638889	1.129879147	NA	798.8059938	2.813286225	6.110496497	2	0.204417128
etienne	13331	23	10	4.504930764	3.307630098	-0.581226142	58	134	23.5738151	5.826086957	4.877470356	0.513574945	0.549242424	0.887120075	NA	851.0028667	1.23420141	1.748830216	10	0.233768532
etienne	13332	24	10	4.662353763	3.249752134	5.447773448	35	121	22.04211493	5.041666667	1.780797101	0.636742368	0.459366391	1.137959452	NA	885.6780482	0.719726553	1.940713513	16	0.234933718
etienne	13333	24	10	4.814992261	2.842370309	0.544816218	49	133	22.45203439	5.541666667	2.432971014	0.541373902	0.449970484	0.936386631	NA	895.2038334	1.641609559	1.828530643	3	0.228573781
etienne	21331	38	10	7.143085334	2.709573789	0.960204031	88	236	38.3818211	6.210526316	2.549075391	0.655537819	0.485007078	1.160313588	NA	1408.052743	1.086679607	2.57979161	10	0.24082083
etienne	21332	42	10	7.532499339	2.912246527	-0.847439301	185	337	49.03997438	8.023809524	12.75551684	0.550252714	0.557182317	0.952515649	NA	1567.733978	1.405953378	2.054538848	14	0.249451538
etienne	21333	44	10	7.871229678	2.712895657	-0.734766327	169	337	51.03012717	7.659090909	8.09038055	0.56906159	0.554295164	0.989572281	NA	1635.131738	1.122953952	2.216776021	18	0.249905176
etienne	22331	28	10	5.953648284	1.55663054	-0.974341803	84	176	31.73921985	6.285714286	6.878306878	0.482551718	0.619328068	0.795846527	NA	1026.454099	1.764342804	2.216247072	8	0.216166464
etienne	22332	27	10	6.158036473	0.961449643	-0.33585461	78	168	27.30999939	6.222222222	4.487179487	0.497022888	0.519309163	0.810672207	NA	987.8852386	1.630531673	1.889208597	10	0.20072887
etienne	22333	31	10	6.364658362	1.806662125	-0.635933508	75	189	34.07970723	6.096774194	4.956989247	0.690297412	0.576610644	1.221474074	NA	1138.797315	0.551189582	3.369835769	1	0.2234852
etienne	23331	33	9.999999999	5.580480931	3.067302305	0.230254595	67	195	34.51448485	5.909090909	3.085227273	0.645782756	0.512671958	1.166093566	NA	1227.878884	0.5945307	2.138409951	1	0.259691277
etienne	23332	37	10	5.836859206	3.419876768	-0.77687101	127	259	42.43359687	7	8.777777778	0.579099946	0.604724039	1.037867933	NA	1386.399019	0.896771763	1.677467241	20	0.271043808
etienne	23333	36	10	6.043411072	2.701641135	4.71980446	57	205	32.25052636	5.694444444	1.703968254	0.569337488	0.190795207	1.00858565	NA	1345.814269	1.160518601	2.526533617	16	0.26092423
