model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
hs	3665	2508	3.399327532	29988	1091.658297	-11.75974767	-0.511418509	57620	73858	3123.801603	29.44896332	315.8884991	0.968380454	0.51623895	1.50201516	0.211752369	267939798.5	-1.14507454	5.380567352	3779	0.030502186
hs	3666	2533	3.40363519	29968	1088.246563	-11.8870851	-0.522810267	48630	66434	3173.777159	26.22739834	249.3519031	0.967179999	0.535959817	1.50525485	0.213001578	270892506	-1.064660872	4.736324491	3608	0.032900019
hs	3667	2540	3.404833717	29928	1111.402232	-10.96957654	-0.405506899	50283	67761	3120.032436	26.67755906	184.6352583	0.978512583	0.504011889	1.519985961	0.212616913	270681356.3	-1.232285896	6.695298655	4209	0.029180868
hs	3668	2557	3.407730728	29941	1120.209378	-11.67613188	-0.307110185	45479	63299	3108.911407	24.75518185	209.7013865	0.979719744	0.506143557	1.521861732	0.211487324	272537711.5	-1.210386993	6.627615908	4152	0.030324499
hs	3669	2533	3.40363519	29993	1108.420031	-12.28959962	-0.409077158	46294	63720	3121.167473	25.15594157	185.8394167	0.973939959	0.510149213	1.510808463	0.211020384	270579195.9	-1.154651192	5.353214007	4204	0.030781321
hs	3670	2526	3.402433346	29958	1060.787202	-12.29990423	-0.425993307	53121	69885	3115.457632	27.66627078	231.5159074	0.954416604	0.521283595	1.48941032	0.200961967	270817784.5	-1.076885304	3.989235708	3987	0.035614254
hs	3671	2511	3.399846713	29992	1045.533576	-11.38194301	-0.465422787	53502	70138	3112.456054	27.93229789	279.6384425	0.950764179	0.511089777	1.485675357	0.204561698	269745379.9	-1.029186813	3.802967562	4094	0.037970844
hs	3672	2530	3.403120521	29971	1137.350005	-12.38242003	-0.438096139	45130	62130	3138.222711	24.55731225	172.4793158	0.979584058	0.532786572	1.510138763	0.220213044	269172376.7	-1.169494508	6.118860342	4143	0.034080205
hs	3673	2519	3.401228167	29967	1086.018587	-12.35711839	-0.520947479	55976	72572	3149.644772	28.80984518	291.6020317	0.970738468	0.5304083	1.510871911	0.206067338	269292729.1	-1.136373296	5.127904089	3779	0.032814473
hs	3674	2573	3.410439786	29982	1132.184711	-11.91786025	-0.387444871	44213	62119	3162.506726	24.14263506	164.9411559	0.972849565	0.515502035	1.50618439	0.213314844	274506277.7	-1.170155192	5.763258526	4201	0.032697808
hs	3865	831	2.919601024	29993	231.2571933	8.348647901	-0.430344389	10970	15950	1019.438493	19.19374248	83.34916562	0.959185452	0.515776054	1.641940529	0.154855586	92653721.01	-1.961691941	6.8969199	1506	0.150508922
hs	3866	826	2.916980047	29959	237.6823325	8.946420993	-0.467659899	11902	16876	1012.959134	20.43099274	87.83341404	0.960958121	0.497404109	1.636018893	0.166130221	91764585.64	-1.915872726	7.732107382	1507	0.141045752
hs	3867	821	2.914343157	29952	231.3964009	8.204274925	-0.569720867	13091	17891	1023.476523	21.79171742	130.8846142	0.958769972	0.52196621	1.637566024	0.159188305	91328279.51	-1.942197677	6.656438778	1529	0.146949743
hs	3868	829	2.918554531	29927	230.6178702	8.037157946	-0.497560993	8911	14003	1033.879841	16.89143546	53.35776472	0.940371563	0.548684662	1.604394526	0.157175552	92224858.26	-1.742432669	6.572556667	1512	0.150608738
hs	3869	815	2.911157609	29970	237.6311311	7.135560928	-0.532705994	11772	16568	1018.049262	20.32883436	97.40770564	0.954532581	0.530713728	1.619356998	0.16122012	90544169.79	-1.896699689	9.818355842	1490	0.13722482
hs	3870	830	2.919078092	29915	235.0217951	8.401027077	-0.571466089	15332	20172	1033.449867	24.30361446	127.7894923	0.954154341	0.520697585	1.626994716	0.156179877	92220619.78	-1.920310375	6.726194829	1518	0.145637971
hs	3871	842	2.925312091	29992	235.2645372	7.812135992	-0.467855763	13634	18530	1033.273399	22.00712589	116.0308647	0.953952908	0.501576697	1.630319198	0.153067743	93768648.95	-1.870565306	6.86700536	1564	0.149385196
hs	3872	816	2.911690159	29944	223.2514694	8.879192802	-0.394273245	12653	17593	987.6750089	21.56004902	101.7583529	0.958442303	0.476386749	1.645191499	0.152664825	90985263.41	-2.039512491	8.260720573	1498	0.155204273
hs	3873	828	2.918030337	29980	231.4412275	9.42764245	-0.440304263	9997	14959	1021.607833	18.06642512	63.29787983	0.971187115	0.541387411	1.664732312	0.160517515	92181588.96	-2.10099688	9.678679696	1522	0.149278369
hs	3874	799	2.902546779	29908	225.8489367	7.25960799	-0.521591249	12783	17433	987.2835653	21.81852315	108.7853206	0.936322731	0.499299649	1.591876044	0.157950972	88704817.53	-1.693929793	5.266213295	1445	0.146132258
hs	4565	2619	3.418135498	29991	1008.840686	-2.136392261	-0.474466844	68086	84976	3252.369897	32.44597174	314.225021	0.974589921	0.527990332	1.564512643	0.196844984	283789902.4	-1.422318341	7.645486996	4288	0.046412188
hs	4566	2589	3.41313205	29998	972.2145476	-1.390229735	-0.52793472	63269	80611	3246.622397	31.13595983	246.3833625	0.971684793	0.532219431	1.568396381	0.191304643	281378623	-1.448125957	7.174609845	4586	0.054183592
hs	4567	2605	3.415807728	29981	962.3116641	-1.386720148	-0.478248056	56938	74888	3231.353367	28.74779271	175.9574884	0.971747469	0.51084572	1.574629864	0.184241217	283489874.7	-1.474914799	8.046008592	4264	0.060001663
hs	4568	2630	3.419955748	29988	993.2588035	-3.805136737	-0.486325639	73137	90001	3275.010905	34.22091255	344.2284708	0.964275386	0.531597404	1.551417494	0.187996711	285596326.8	-1.393033534	6.800128107	4530	0.052664365
hs	4569	2637	3.42111013	29995	963.0327388	-2.157590174	-0.520208288	79920	96760	3288.917763	36.69321198	369.8030381	0.961706629	0.522902399	1.558749502	0.183494989	287290782	-1.407516339	5.725976573	4618	0.063905777
hs	4570	2605	3.415807728	29998	961.8625575	-3.311046263	-0.518027058	77070	93738	3250.310192	35.98387716	378.0504312	0.960706846	0.515878814	1.55271688	0.184733213	283649962.2	-1.368158133	5.517669888	4542	0.060091442
hs	4571	2633	3.420450859	29993	960.2175508	-1.776549371	-0.494698369	67722	84898	3269.790715	32.24382833	390.1798869	0.958521147	0.517130631	1.552892827	0.185277544	287041071.9	-1.377470353	5.636723734	4686	0.064497856
hs	4572	2586	3.412628521	29990	944.9330443	-2.431788109	-0.502555056	63900	81594	3227.348419	31.55220418	214.3541402	0.957398508	0.522330852	1.549938843	0.183423602	281801105.3	-1.385800364	6.308555304	4504	0.063636056
hs	4573	2614	3.417305583	29999	951.0385013	0.011835121	-0.546187195	75292	92532	3277.618929	35.3986228	385.9145178	0.966770062	0.520233418	1.570258963	0.186509692	285033102.1	-1.462630956	6.86056923	4641	0.065024821
hs	4574	2635	3.42078062	29989	948.0860649	-0.848899963	-0.486258143	67132	84658	3256.132109	32.12827324	393.946334	0.958718686	0.495947149	1.558171132	0.185223983	287575923.5	-1.395843227	5.430484164	4360	0.069061674
hs	6085	1988	3.29841638	29989	805.8828237	-5.888569084	-0.527735952	37369	50215	2482.657636	25.25905433	190.717457	0.966455226	0.52689481	1.528220418	0.20175624	214256984.3	-1.2502129	4.78334726	3350	0.032980751
hs	6086	1993	3.299507299	29984	798.966949	-4.793000579	-0.521433818	38098	51058	2495.116633	25.61866533	228.3976836	0.968890239	0.52793882	1.537580406	0.201426288	214992431.1	-1.319990338	5.580546073	3375	0.03376999
hs	6087	1963	3.2929203	29997	796.6499317	-6.860809593	-0.546357307	36728	49788	2469.390805	25.36321956	214.1468015	0.966104324	0.523963584	1.527067573	0.20147393	211567024.6	-1.243515021	4.927206805	3398	0.032868215
hs	6088	2001	3.301247089	29931	794.6159834	-6.268102577	-0.471703189	32674	46700	2480.770919	23.33833083	179.543975	0.959975426	0.513171425	1.52352355	0.199341066	215655800.2	-1.186046932	4.335733719	3365	0.038746671
hs	6089	1997	3.300378065	29996	790.9948993	-4.733644143	-0.577947019	35824	49002	2516.303236	24.53780671	224.9971922	0.968532856	0.532645858	1.541662679	0.200753463	215821764.6	-1.280519459	5.139052109	3242	0.036859724
hs	6090	1952	3.290479813	29991	795.1962255	-6.19601441	-0.483301142	35022	47772	2425.620153	24.47336066	175.1115401	0.978089819	0.52626139	1.549505179	0.199940906	210254384.5	-1.330893855	6.8053812	3416	0.032086769
hs	6091	1988	3.29841638	29999	816.0910364	-5.448322289	-0.404170082	36549	49737	2437.036468	25.01861167	174.7912991	0.972411162	0.503508036	1.534996494	0.204867085	213987197.5	-1.3246596	6.282285922	3283	0.031081285
