model	simID	S	tree
ca	329	20	ca_329.tre
ca	411	20	ca_411.tre
ca	564	20	ca_564.tre
ca	601	20	ca_601.tre
ca	767	20	ca_767.tre
ca	981	20	ca_981.tre
ca	1025	20	ca_1025.tre
ca	1176	20	ca_1176.tre
ca	1244	20	ca_1244.tre
ca	1489	20	ca_1489.tre
ca	1562	20	ca_1562.tre
ca	1679	20	ca_1679.tre
ca	1889	20	ca_1889.tre
ca	1895	20	ca_1895.tre
ca	2290	20	ca_2290.tre
ca	2301	20	ca_2301.tre
ca	2389	20	ca_2389.tre
ca	2742	20	ca_2742.tre
fh	7	20	fh_7.tre
fh	69	20	fh_69.tre
fh	72	20	fh_72.tre
fh	83	20	fh_83.tre
fh	96	20	fh_96.tre
fh	147	20	fh_147.tre
fh	167	20	fh_167.tre
fh	182	20	fh_182.tre
fh	233	20	fh_233.tre
fh	261	20	fh_261.tre
fh	291	20	fh_291.tre
fh	467	20	fh_467.tre
fh	479	20	fh_479.tre
fh	515	20	fh_515.tre
fh	517	20	fh_517.tre
fh	727	20	fh_727.tre
fh	729	20	fh_729.tre
fh	797	20	fh_797.tre
fh	869	20	fh_869.tre
fh	913	20	fh_913.tre
fh	986	20	fh_986.tre
fh	1024	20	fh_1024.tre
fh	1116	20	fh_1116.tre
fh	1118	20	fh_1118.tre
fh	1166	20	fh_1166.tre
fh	1182	20	fh_1182.tre
fh	1196	20	fh_1196.tre
fh	1201	20	fh_1201.tre
fh	1263	20	fh_1263.tre
fh	1303	20	fh_1303.tre
fh	1314	20	fh_1314.tre
fh	1400	20	fh_1400.tre
fh	1407	20	fh_1407.tre
fh	1443	20	fh_1443.tre
fh	1524	20	fh_1524.tre
fh	1529	20	fh_1529.tre
fh	1566	20	fh_1566.tre
fh	1568	20	fh_1568.tre
fh	1571	20	fh_1571.tre
fh	1595	20	fh_1595.tre
fh	1674	20	fh_1674.tre
fh	1685	20	fh_1685.tre
fh	1709	20	fh_1709.tre
fh	1712	20	fh_1712.tre
fh	1777	20	fh_1777.tre
fh	1915	20	fh_1915.tre
fh	1931	20	fh_1931.tre
fh	1932	20	fh_1932.tre
gen	11116	20	gen_11116.tre
gen	1111157	20	gen_1111157.tre
gen	1111231	20	gen_1111231.tre
gen	1111367	20	gen_1111367.tre
gen	1111407	20	gen_1111407.tre
gen	1111415	20	gen_1111415.tre
gen	1111468	20	gen_1111468.tre
gen	1111482	20	gen_1111482.tre
gen	1111484	20	gen_1111484.tre
gen	1111486	20	gen_1111486.tre
gen	1111503	20	gen_1111503.tre
gen	1111577	20	gen_1111577.tre
gen	222225	20	gen_222225.tre
gen	2222134	20	gen_2222134.tre
gen	2222191	20	gen_2222191.tre
gen	2222378	20	gen_2222378.tre
gen	2222418	20	gen_2222418.tre
gen	2222506	20	gen_2222506.tre
gen	2222544	20	gen_2222544.tre
gen	3333164	20	gen_3333164.tre
gen	3333275	20	gen_3333275.tre
gen	3333297	20	gen_3333297.tre
hs	6853	20	hs_6853.tre
hs	7147	20	hs_7147.tre
hs	7558	20	hs_7558.tre
hs	7766	20	hs_7766.tre
hs	8277	20	hs_8277.tre
pontarp	343	20	pontarp_343.tre
pontarp	1183	20	pontarp_1183.tre
pontarp	2964	20	pontarp_2964.tre
ve	66	20	ve_66.tre
ve	87	20	ve_87.tre
ve	150	20	ve_150.tre
ve	162	20	ve_162.tre
ve	163	20	ve_163.tre
ve	180	20	ve_180.tre
ve	220	20	ve_220.tre
ve	264	20	ve_264.tre
ve	277	20	ve_277.tre
ve	341	20	ve_341.tre
ve	352	20	ve_352.tre
ve	362	20	ve_362.tre
ve	408	20	ve_408.tre
ve	415	20	ve_415.tre
ve	449	20	ve_449.tre
ve	480	20	ve_480.tre
ve	531	20	ve_531.tre
ve	578	20	ve_578.tre
ve	582	20	ve_582.tre
ve	596	20	ve_596.tre
ve	620	20	ve_620.tre
ve	627	20	ve_627.tre
ve	638	20	ve_638.tre
ve	693	20	ve_693.tre
ve	774	20	ve_774.tre
ve	794	20	ve_794.tre
ve	816	20	ve_816.tre
ve	821	20	ve_821.tre
ve	826	20	ve_826.tre
ve	829	20	ve_829.tre
ve	839	20	ve_839.tre
ve	860	20	ve_860.tre
ve	907	20	ve_907.tre
ve	908	20	ve_908.tre
ve	932	20	ve_932.tre
ve	935	20	ve_935.tre
ve	1013	20	ve_1013.tre
ve	1030	20	ve_1030.tre
ve	1043	20	ve_1043.tre
ve	1094	20	ve_1094.tre
ve	1119	20	ve_1119.tre
ve	1121	20	ve_1121.tre
ve	1165	20	ve_1165.tre
ve	1170	20	ve_1170.tre
ve	1215	20	ve_1215.tre
ve	1269	20	ve_1269.tre
ve	1293	20	ve_1293.tre
ve	1326	20	ve_1326.tre
ve	1399	20	ve_1399.tre
ve	1412	20	ve_1412.tre
ve	1416	20	ve_1416.tre
ve	1422	20	ve_1422.tre
ve	1437	20	ve_1437.tre
ve	1446	20	ve_1446.tre
ve	1470	20	ve_1470.tre
ve	1471	20	ve_1471.tre
ve	1491	20	ve_1491.tre
ve	1499	20	ve_1499.tre
ve	1506	20	ve_1506.tre
ve	1522	20	ve_1522.tre
ve	1648	20	ve_1648.tre
ve	1676	20	ve_1676.tre
ve	1685	20	ve_1685.tre
ve	1769	20	ve_1769.tre
ve	1771	20	ve_1771.tre
ve	1772	20	ve_1772.tre
ve	1789	20	ve_1789.tre
ve	1854	20	ve_1854.tre
ve	1871	20	ve_1871.tre
ve	1877	20	ve_1877.tre
ve	1946	20	ve_1946.tre
ve	1956	20	ve_1956.tre
ve	2009	20	ve_2009.tre
ve	2021	20	ve_2021.tre
ve	2024	20	ve_2024.tre
ve	2034	20	ve_2034.tre
ve	2067	20	ve_2067.tre
ve	2108	20	ve_2108.tre
ve	2314	20	ve_2314.tre
ve	2341	20	ve_2341.tre
ve	2375	20	ve_2375.tre
ve	2399	20	ve_2399.tre
ve	2401	20	ve_2401.tre
ve	2416	20	ve_2416.tre
ve	2420	20	ve_2420.tre
ve	2439	20	ve_2439.tre
ve	2444	20	ve_2444.tre
ve	2458	20	ve_2458.tre
ve	2560	20	ve_2560.tre
ve	2628	20	ve_2628.tre
ve	2668	20	ve_2668.tre
ve	2707	20	ve_2707.tre
ve	2761	20	ve_2761.tre
ve	2780	20	ve_2780.tre
ve	2806	20	ve_2806.tre
ve	2817	20	ve_2817.tre
