variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
log10S,-0.393336481,0.043853269,-0.113770698,0.023471878,0.099667361,-0.093360148,0.066028586,-0.232758293,0.66841642,0.12021525,0.106702175,-0.204854044,0.203766046,0.442741227,-0.023655017
tree.length,-0.056002116,-0.323407164,-0.327628421,-0.285174806,0.234062436,-0.118223164,-0.67895329,-0.102765982,0.022290606,-0.39765079,0.021872814,0.047278817,0.024064229,-0.037266163,0.001255969
PD,-0.403861297,0.004582647,0.114284685,0.024830962,-0.067128281,0.264790569,-0.104990094,0.104884065,0.222394107,0.118091168,0.268664734,0.697012697,0.046319185,-0.32092543,-0.001716774
Gamma,-0.077484272,0.305754547,0.172594621,-0.221043984,0.412519025,-0.64769625,0.039843117,0.036412735,-0.225008351,0.158805087,0.372580671,0.120766319,0.003662364,0.001649496,-0.000672168
Beta,0.030492461,0.277330951,-0.009379438,-0.278985032,-0.693308609,-0.193836364,-0.391475956,-0.218098528,-0.035586163,0.345252108,-0.055880612,-0.005340921,0.025190249,0.030191338,-0.00217923
Colless,-0.401950509,-0.095677799,0.148064058,-0.120562963,-0.084539493,0.024832122,0.039341349,0.158749256,-0.256530798,-0.060340997,-0.060143567,-0.315206356,0.661069103,-0.216171079,0.319604208
Sackin,-0.406952221,0.002323202,0.213933966,-0.081313148,-0.030629518,0.110377125,-0.077626384,0.130578314,-0.222619168,-0.071360295,-0.056730926,-0.186942677,-0.115183024,0.101174225,-0.793401659
Yule.PDA.ratio,-0.3998671,0.054570602,0.233034031,-0.045781579,0.018220862,0.144863963,-0.147041918,0.087956905,-0.144266625,-0.036225885,-0.053410312,-0.114399646,-0.587656985,0.281929702,0.516877185
MRD,-0.168722378,-0.425671189,-0.162486438,-0.103487735,-0.185802737,-0.241284889,0.253210261,-0.057188242,0.148364694,0.13144376,0.233611962,-0.312211567,-0.379576507,-0.507409271,-0.014683698
VRD,-0.116012765,-0.402238971,-0.176993071,-0.215165093,-0.273701725,-0.271314923,0.377489163,0.122745312,-0.179250105,-0.119872339,-0.1572483,0.423064164,0.038612221,0.434977882,0.011244048
PSV,-0.119642927,0.006612468,-0.386781377,0.658091586,-0.193441333,-0.09316893,-0.168547078,0.145815294,-0.289249017,0.009160279,0.436073009,-0.063224922,0.039155869,0.166523504,0.004246975
mean.Iprime,0.017283086,-0.45744521,0.093747649,0.183266504,0.271054806,-0.039520819,-0.242264147,0.030257719,-0.098283043,0.718030362,-0.280384609,0.038749803,0.051407292,0.072165121,-0.015334425
MPD,-0.222605924,0.320686803,-0.305241963,0.199225909,0.040016588,-0.33352631,-0.030773233,0.37217772,0.17993154,-0.040710127,-0.596542772,0.05401062,-0.094254742,-0.246386895,-0.005918276
VPD,0.273822448,-0.174856815,0.382607384,0.002886541,-0.185085752,-0.174225822,-0.199962253,0.667410355,0.365708021,-0.093023268,0.176227275,-0.102959121,0.027346848,0.114939978,0.002322743
nLTT_stat,-0.063032836,-0.158810835,0.509023086,0.451879801,-0.123796237,-0.364222287,-0.070416495,-0.448233638,0.040039913,-0.318439805,-0.171266091,0.111776113,0.010475532,-0.093316905,-6.88775E-05
