"model","model2","experiment","parameter","metric","r","r.L95","r.U95","color","symbol"
"hs","hs.K","env","w","S",-0.0709565624004047,-0.15820898107254,0.0173953893751452,"#40E0D0FF",16
"hs","hs.K","env","w","log10S",-0.0709565624004047,-0.15820898107254,0.0173953893751452,"#40E0D0FF",16
"hs","hs.K","env","w","tree.length",-0.118990270822141,-0.205272554753463,-0.0308726369021896,"#40E0D0FF",16
"hs","hs.K","env","w","PD",0.0638749055132756,-0.0244852002305773,0.151244741397436,"#40E0D0FF",16
"hs","hs.K","env","w","Gamma",-0.11201406120761,-0.198456104900756,-0.0238428461975554,"#40E0D0FF",16
"hs","hs.K","env","w","Beta",-0.163326502915387,-0.248442154633496,-0.0757080044412133,"#40E0D0FF",16
"hs","hs.K","env","w","Colless",-0.0211110254188914,-0.109050618759828,0.0671564503041363,"#40E0D0FF",16
"hs","hs.K","env","w","Sackin",-0.0453694365186803,-0.133015148911165,0.0429803598755296,"#40E0D0FF",16
"hs","hs.K","env","w","Yule.PDA.ratio",-0.0647212359379256,-0.152077384445622,0.0236382487200359,"#40E0D0FF",16
"hs","hs.K","env","w","MRD",0.0192239467207551,-0.0690338695271708,0.107183178178573,"#40E0D0FF",16
"hs","hs.K","env","w","VRD",0.0692295461925418,-0.0191250138355051,0.156511204606267,"#40E0D0FF",16
"hs","hs.K","env","w","PSV",-0.0712235981336151,-0.158471460833591,0.0171279146200324,"#40E0D0FF",16
"hs","hs.K","env","w","mean.Iprime",0.140817671477562,0.0527307330198467,0.226730140562306,"#40E0D0FF",16
"hs","hs.K","env","w","MPD",-0.160321219252764,-0.245524265038596,-0.0726601182716761,"#40E0D0FF",16
"hs","hs.K","env","w","VPD",0.115662040280037,0.0275180071234364,0.202021345673282,"#40E0D0FF",16
"hs","hs.K","env","w","nLTT_stat",-0.155174508570094,-0.240524397617122,-0.0674434399500951,"#40E0D0FF",16
"hs","hs.K","env","w","PC1",0.0293449659907411,-0.0591387245970528,0.117371133744625,"#40E0D0FF",16
"hs","hs.K","env","w","PC2",-0.170100274185191,-0.255184112223249,-0.0824023326446976,"#40E0D0FF",16
"hs","hs.K","env","w","PC3",0.00437907139170266,-0.0839653103091643,0.0926551496935568,"#40E0D0FF",16
"hs","hs.K","env","w","PC4",-0.146401552213862,-0.232164904490537,-0.058379393277807,"#40E0D0FF",16
"hs","hs.K","env","w","PC5",-0.0899413152757144,-0.177021409289094,-0.00146399229995658,"#40E0D0FF",16
"hs","hs.K","env","w","PC6",0.167418911667662,0.079680254434815,0.252583436074497,"#40E0D0FF",16
"hs","hs.S","env","w","S",-0.0807045980237131,-0.167350857945272,0.00717881348214904,"#40E0D0FF",17
"hs","hs.S","env","w","log10S",-0.0807045980237131,-0.167350857945272,0.00717881348214904,"#40E0D0FF",17
"hs","hs.S","env","w","tree.length",-0.200863956477078,-0.284371152381206,-0.114331805855125,"#40E0D0FF",17
"hs","hs.S","env","w","PD",0.0916545426181705,0.00381163201251585,0.178093782087246,"#40E0D0FF",17
"hs","hs.S","env","w","Gamma",-0.131637070548282,-0.217186920572091,-0.0440804013203185,"#40E0D0FF",17
"hs","hs.S","env","w","Beta",-0.218840363361453,-0.301710733148625,-0.132688003565381,"#40E0D0FF",17
"hs","hs.S","env","w","Colless",-0.00685433256885824,-0.0944891505317484,0.0808858976312912,"#40E0D0FF",17
"hs","hs.S","env","w","Sackin",-0.0356907399024265,-0.12302395019289,0.0521910217470666,"#40E0D0FF",17
"hs","hs.S","env","w","Yule.PDA.ratio",-0.0758671834687339,-0.162599916327183,0.0120289891427955,"#40E0D0FF",17
"hs","hs.S","env","w","MRD",0.0513139837190062,-0.0365988068551985,0.138438633334278,"#40E0D0FF",17
"hs","hs.S","env","w","VRD",0.122777630057183,0.0351386300292382,0.208542698866508,"#40E0D0FF",17
"hs","hs.S","env","w","PSV",-0.128552098208393,-0.214178067311048,-0.0409655284578988,"#40E0D0FF",17
"hs","hs.S","env","w","mean.Iprime",0.111683780095942,0.0239569304789739,0.197703749450813,"#40E0D0FF",17
"hs","hs.S","env","w","MPD",-0.223013692054768,-0.305729830770728,-0.136956413128179,"#40E0D0FF",17
"hs","hs.S","env","w","VPD",0.144257569030276,0.0568370022040526,0.229482885850051,"#40E0D0FF",17
"hs","hs.S","env","w","nLTT_stat",-0.158697754791019,-0.243525746034379,-0.0714602978681041,"#40E0D0FF",17
"hs","hs.S","env","w","PC1",0.0132661010644043,-0.0745150128579074,0.10084320969836,"#40E0D0FF",17
"hs","hs.S","env","w","PC2",-0.238192024768099,-0.320326758806889,-0.152502805313836,"#40E0D0FF",17
"hs","hs.S","env","w","PC3",0.0501920727682911,-0.0377195640938427,0.137332756580242,"#40E0D0FF",17
"hs","hs.S","env","w","PC4",-0.165299221196885,-0.249936282512193,-0.0781552991579521,"#40E0D0FF",17
"hs","hs.S","env","w","PC5",-0.149213012852051,-0.234305114516678,-0.0618519745982895,"#40E0D0FF",17
"hs","hs.S","env","w","PC6",0.186800715202861,0.100004715514819,0.270775209717981,"#40E0D0FF",17
"hs","hs.D","env","w","S",-0.127189152243288,-0.213275439163435,-0.0391430864868763,"#40E0D0FF",15
"hs","hs.D","env","w","log10S",-0.127189152243288,-0.213275439163435,-0.0391430864868763,"#40E0D0FF",15
"hs","hs.D","env","w","tree.length",-0.141090881545161,-0.226824431909173,-0.0531875412902493,"#40E0D0FF",15
"hs","hs.D","env","w","PD",0.00724075019490979,-0.080944798595656,0.0953138185784511,"#40E0D0FF",15
"hs","hs.D","env","w","Gamma",-0.0702691338090319,-0.157533237953831,0.0180839041076369,"#40E0D0FF",15
"hs","hs.D","env","w","Beta",-0.142496622836948,-0.228193070658785,-0.0546092210664755,"#40E0D0FF",15
"hs","hs.D","env","w","Colless",-0.0721810793540587,-0.15941252945692,0.0161687805417694,"#40E0D0FF",15
"hs","hs.D","env","w","Sackin",-0.100590834306505,-0.187280601071341,-0.012346316800577,"#40E0D0FF",15
"hs","hs.D","env","w","Yule.PDA.ratio",-0.122522310561298,-0.208721252491861,-0.0344343661868567,"#40E0D0FF",15
"hs","hs.D","env","w","MRD",0.0243346962761183,-0.0639481957310225,0.112239665426565,"#40E0D0FF",15
"hs","hs.D","env","w","VRD",0.0951660699943582,0.00689298627812571,0.181967457277117,"#40E0D0FF",15
"hs","hs.D","env","w","PSV",-0.161639775052339,-0.246804626894808,-0.0739972068759513,"#40E0D0FF",15
"hs","hs.D","env","w","mean.Iprime",0.0491433793637842,-0.039302071548632,0.136824769228082,"#40E0D0FF",15
"hs","hs.D","env","w","MPD",-0.155260684420277,-0.240608144056249,-0.0675307563072497,"#40E0D0FF",15
"hs","hs.D","env","w","VPD",0.0571135146686929,-0.0312481156362193,0.144589336969481,"#40E0D0FF",15
"hs","hs.D","env","w","nLTT_stat",-0.108631832231153,-0.195149016323014,-0.0204370501278075,"#40E0D0FF",15
"hs","hs.D","env","w","PC1",0.11649820589716,0.0282704932187887,0.202924824858121,"#40E0D0FF",15
"hs","hs.D","env","w","PC2",-0.118526653233603,-0.204906217494831,-0.030315082260261,"#40E0D0FF",15
"hs","hs.D","env","w","PC3",0.0176417084925679,-0.0706971413665957,0.105705985661376,"#40E0D0FF",15
"hs","hs.D","env","w","PC4",-0.159931446084964,-0.245230805402478,-0.0721748771095561,"#40E0D0FF",15
"hs","hs.D","env","w","PC5",-0.0468522260985163,-0.134565839168035,0.041589905850469,"#40E0D0FF",15
"hs","hs.D","env","w","PC6",0.133470650199592,0.0453955834693454,0.21948672420145,"#40E0D0FF",15
"hs","hs.N","env","w","S",-0.118597476581189,-0.204631097862082,-0.0307455072121347,"#40E0D0FF",18
"hs","hs.N","env","w","log10S",-0.118597476581189,-0.204631097862082,-0.0307455072121347,"#40E0D0FF",18
"hs","hs.N","env","w","tree.length",0.214101156655701,0.127667473051615,0.297307341256947,"#40E0D0FF",18
