"model"	"simID"	"S"	"tree.length"	"PD"	"gamma"	"beta"	"Colless"	"Sackin"	"Yule.PDA.ratio"	"MRD"	"VRD"	"PSV"	"mean.Iprime"	"MPD"	"VPD"	"MGL_principal_eigenvalue"	"MGL_asymmetry"	"MGL_peakedness"	"MGL_eigengap"	"nLTT_stat"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hs	5536	3129	99988	459.035154218506	42.5791638068479	-0.338782000634478	71724	93084	3842.0607992504	29.7488015340364	162.067953326647	0.96219211109831	0.518464731693468	1.77823770060612	0.0873220423651914	1205104530.01227	-3.26916028329277	19.2868381501242	6028	0.282093291074817	
hs	5537	3137	99991	450.607194647518	42.6778671182898	-0.206231614534742	64237	86439	3807.58025362921	27.5546700669429	102.308314439898	0.94913711790922	0.506797615433896	1.75518434990222	0.0872286010863927	1209351496.71929	-3.06616379758993	13.0953176505695	6096	0.285154045720104	
hs	5538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
hs	5539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
hs	5540	3181	99915	437.301286093179	44.1379270612175	-0.478973953679751	99251	120229	3958.98825074493	37.7959761081421	292.171254243454	0.940012520600417	0.521580825814288	1.74309736466325	0.0851208744389651	1227346251.35495	-2.98314190722111	13.9707925246068	6191	0.291323862753105	
hs	5541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
hs	5542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
hs	5543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
hs	5544	3116	99899	457.725342596022	42.6862335953044	-0.380961171814063	78508	100208	3838.82461673018	32.1591784338896	198.323931780671	0.935697336645063	0.507640294615818	1.72505018073786	0.0866510768602523	1199021008.74802	-2.78841686099444	19.0776052349126	6008	0.281901592270792	
