"model","simID","L","v","Psi","s_phi","s_spar","s_disp","ticks","seed","file"
"XE","11111","333","1e-04","0","0.707106781186548","0.1","0.1","1e+07","1","11111.m"
"XE","11112","333","1e-04","0","0.707106781186548","0.1","0.1","1e+07","2","11112.m"
"XE","11113","333","1e-04","0","0.707106781186548","0.1","0.1","1e+07","3","11113.m"
"XE","11121","333","1e-04","0","70.7106781186548","0.1","0.1","1e+07","1","11121.m"
"XE","11122","333","1e-04","0","70.7106781186548","0.1","0.1","1e+07","2","11122.m"
"XE","11123","333","1e-04","0","70.7106781186548","0.1","0.1","1e+07","3","11123.m"
"XE","11131","333","1e-04","0","7071.06781186548","0.1","0.1","1e+07","1","11131.m"
"XE","11132","333","1e-04","0","7071.06781186548","0.1","0.1","1e+07","2","11132.m"
"XE","11133","333","1e-04","0","7071.06781186548","0.1","0.1","1e+07","3","11133.m"
"XE","11141","333","1e-04","0","707106.781186548","0.1","0.1","1e+07","1","11141.m"
"XE","11142","333","1e-04","0","707106.781186548","0.1","0.1","1e+07","2","11142.m"
"XE","11143","333","1e-04","0","707106.781186548","0.1","0.1","1e+07","3","11143.m"
"XE","11151","333","1e-04","0","70710678.1186548","0.1","0.1","1e+07","1","11151.m"
"XE","11152","333","1e-04","0","70710678.1186548","0.1","0.1","1e+07","2","11152.m"
"XE","11153","333","1e-04","0","70710678.1186548","0.1","0.1","1e+07","3","11153.m"
"XE","11161","333","1e-04","0","-1","0.1","0.1","1e+07","1","11161.m"
"XE","11162","333","1e-04","0","-1","0.1","0.1","1e+07","2","11162.m"
"XE","11163","333","1e-04","0","-1","0.1","0.1","1e+07","3","11163.m"
"XE","11211","333","1e-04","0.5","0.707106781186548","0.1","0.1","1e+07","1","11211.m"
"XE","11212","333","1e-04","0.5","0.707106781186548","0.1","0.1","1e+07","2","11212.m"
"XE","11213","333","1e-04","0.5","0.707106781186548","0.1","0.1","1e+07","3","11213.m"
"XE","11221","333","1e-04","0.5","70.7106781186548","0.1","0.1","1e+07","1","11221.m"
"XE","11222","333","1e-04","0.5","70.7106781186548","0.1","0.1","1e+07","2","11222.m"
"XE","11223","333","1e-04","0.5","70.7106781186548","0.1","0.1","1e+07","3","11223.m"
"XE","11231","333","1e-04","0.5","7071.06781186548","0.1","0.1","1e+07","1","11231.m"
"XE","11232","333","1e-04","0.5","7071.06781186548","0.1","0.1","1e+07","2","11232.m"
"XE","11233","333","1e-04","0.5","7071.06781186548","0.1","0.1","1e+07","3","11233.m"
"XE","11241","333","1e-04","0.5","707106.781186548","0.1","0.1","1e+07","1","11241.m"
"XE","11242","333","1e-04","0.5","707106.781186548","0.1","0.1","1e+07","2","11242.m"
