"","model","simID","dispersal","density","environment","speciationRate","fission","protracted","replicate","env","nic","com","dis","mut","tim"
"1","fh",1,0,0,0,2,1,0,1,"Low","Medium","Low","Low","Low","Medium"
"2","fh",2,1,0,0,2,1,0,1,"Low","Medium","Low","High","Low","Medium"
"3","fh",3,0,1,0,2,1,0,1,"Low","Medium","High","Low","Low","Medium"
"4","fh",4,1,1,0,2,1,0,1,"Low","Medium","High","High","Low","Medium"
"5","fh",5,0,0,1,2,1,0,1,"High","Medium","Low","Low","Low","Medium"
"6","fh",6,1,0,1,2,1,0,1,"High","Medium","Low","High","Low","Medium"
"7","fh",7,0,1,1,2,1,0,1,"High","Medium","High","Low","Low","Medium"
"8","fh",8,1,1,1,2,1,0,1,"High","Medium","High","High","Low","Medium"
"9","fh",9,0,0,0,5,1,0,1,"Low","Medium","Low","Low","High","Medium"
"10","fh",10,1,0,0,5,1,0,1,"Low","Medium","Low","High","High","Medium"
"11","fh",11,0,1,0,5,1,0,1,"Low","Medium","High","Low","High","Medium"
"12","fh",12,1,1,0,5,1,0,1,"Low","Medium","High","High","High","Medium"
"13","fh",13,0,0,1,5,1,0,1,"High","Medium","Low","Low","High","Medium"
"14","fh",14,1,0,1,5,1,0,1,"High","Medium","Low","High","High","Medium"
"15","fh",15,0,1,1,5,1,0,1,"High","Medium","High","Low","High","Medium"
"16","fh",16,1,1,1,5,1,0,1,"High","Medium","High","High","High","Medium"
"17","fh",17,0,0,0,2,2,0,1,"Low","Medium","Low","Low","Low","Medium"
"18","fh",18,1,0,0,2,2,0,1,"Low","Medium","Low","High","Low","Medium"
"19","fh",19,0,1,0,2,2,0,1,"Low","Medium","High","Low","Low","Medium"
"20","fh",20,1,1,0,2,2,0,1,"Low","Medium","High","High","Low","Medium"
"21","fh",21,0,0,1,2,2,0,1,"High","Medium","Low","Low","Low","Medium"
"22","fh",22,1,0,1,2,2,0,1,"High","Medium","Low","High","Low","Medium"
"23","fh",23,0,1,1,2,2,0,1,"High","Medium","High","Low","Low","Medium"
"24","fh",24,1,1,1,2,2,0,1,"High","Medium","High","High","Low","Medium"
"25","fh",25,0,0,0,5,2,0,1,"Low","Medium","Low","Low","High","Medium"
"26","fh",26,1,0,0,5,2,0,1,"Low","Medium","Low","High","High","Medium"
"27","fh",27,0,1,0,5,2,0,1,"Low","Medium","High","Low","High","Medium"
"28","fh",28,1,1,0,5,2,0,1,"Low","Medium","High","High","High","Medium"
"29","fh",29,0,0,1,5,2,0,1,"High","Medium","Low","Low","High","Medium"
"30","fh",30,1,0,1,5,2,0,1,"High","Medium","Low","High","High","Medium"
"31","fh",31,0,1,1,5,2,0,1,"High","Medium","High","Low","High","Medium"
"32","fh",32,1,1,1,5,2,0,1,"High","Medium","High","High","High","Medium"
"33","fh",33,0,0,0,2,3,0,1,"Low","Medium","Low","Low","Low","Medium"
"34","fh",34,1,0,0,2,3,0,1,"Low","Medium","Low","High","Low","Medium"
"35","fh",35,0,1,0,2,3,0,1,"Low","Medium","High","Low","Low","Medium"
"36","fh",36,1,1,0,2,3,0,1,"Low","Medium","High","High","Low","Medium"
"37","fh",37,0,0,1,2,3,0,1,"High","Medium","Low","Low","Low","Medium"
"38","fh",38,1,0,1,2,3,0,1,"High","Medium","Low","High","Low","Medium"
"39","fh",39,0,1,1,2,3,0,1,"High","Medium","High","Low","Low","Medium"
"40","fh",40,1,1,1,2,3,0,1,"High","Medium","High","High","Low","Medium"
"41","fh",41,0,0,0,5,3,0,1,"Low","Medium","Low","Low","High","Medium"
"42","fh",42,1,0,0,5,3,0,1,"Low","Medium","Low","High","High","Medium"
"43","fh",43,0,1,0,5,3,0,1,"Low","Medium","High","Low","High","Medium"
"44","fh",44,1,1,0,5,3,0,1,"Low","Medium","High","High","High","Medium"
"45","fh",45,0,0,1,5,3,0,1,"High","Medium","Low","Low","High","Medium"
"46","fh",46,1,0,1,5,3,0,1,"High","Medium","Low","High","High","Medium"
