model,simID,status,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma,scenario,env,nic,dis,mut,tim
hs,3465,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,1,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3466,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,2,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3467,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,3,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3468,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,4,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3469,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,5,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3470,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,6,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3471,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,7,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3472,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,8,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3473,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,9,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3474,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,10,0,0,0,off,NA,0.1,N,high,high,med,med,high
hs,3475,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,11,0,0,0,off,NA,0.1,,,,,,
hs,3476,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,12,0,0,0,off,NA,0.1,,,,,,
hs,3477,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,13,0,0,0,off,NA,0.1,,,,,,
hs,3478,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,14,0,0,0,off,NA,0.1,,,,,,
hs,3479,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,15,0,0,0,off,NA,0.1,,,,,,
hs,3480,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,16,0,0,0,off,NA,0.1,,,,,,
hs,3481,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,17,0,0,0,off,NA,0.1,,,,,,
hs,3482,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,18,0,0,0,off,NA,0.1,,,,,,
hs,3483,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,19,0,0,0,off,NA,0.1,,,,,,
hs,3484,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,20,0,0,0,off,NA,0.1,,,,,,
hs,3485,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,21,0,0,0,off,NA,0.1,,,,,,
hs,3486,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,22,0,0,0,off,NA,0.1,,,,,,
hs,3487,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,23,0,0,0,off,NA,0.1,,,,,,
hs,3488,completed,tropical,3,1.00E-06,1.00E-04,1,off,off,40000,11,30000,10000,24,0,0,0,off,NA,0.1,,,,,,
