"model","simID","time","lac","mu","K","gam","laa","seed","env","nic","dis","com","mut","tim"
"ve","11111101",10,1.4,0.3,60,0.001,0.5,1,"","","M","","M",""
"ve","11111102",10,1.4,0.3,60,0.001,0.5,2,"","","M","","M",""
"ve","11111103",10,1.4,0.3,60,0.001,0.5,3,"","","M","","M",""
"ve","11111104",10,1.4,0.3,60,0.001,0.5,4,"","","M","","M",""
"ve","11111105",10,1.4,0.3,60,0.001,0.5,5,"","","M","","M",""
"ve","11111106",10,1.4,0.3,60,0.001,0.5,6,"","","M","","M",""
"ve","11111107",10,1.4,0.3,60,0.001,0.5,7,"","","M","","M",""
"ve","11111108",10,1.4,0.3,60,0.001,0.5,8,"","","M","","M",""
"ve","11111109",10,1.4,0.3,60,0.001,0.5,9,"","","M","","M",""
"ve","11111110",10,1.4,0.3,60,0.001,0.5,10,"","","M","","M",""
"ve","11111111",10,1.4,0.3,60,0.001,0.5,11,"","","M","","M",""
"ve","11111112",10,1.4,0.3,60,0.001,0.5,12,"","","M","","M",""
"ve","11111113",10,1.4,0.3,60,0.001,0.5,13,"","","M","","M",""
"ve","11111114",10,1.4,0.3,60,0.001,0.5,14,"","","M","","M",""
"ve","11111115",10,1.4,0.3,60,0.001,0.5,15,"","","M","","M",""
"ve","11111116",10,1.4,0.3,60,0.001,0.5,16,"","","M","","M",""
"ve","11111117",10,1.4,0.3,60,0.001,0.5,17,"","","M","","M",""
"ve","11111118",10,1.4,0.3,60,0.001,0.5,18,"","","M","","M",""
"ve","11111119",10,1.4,0.3,60,0.001,0.5,19,"","","M","","M",""
"ve","11111120",10,1.4,0.3,60,0.001,0.5,20,"","","M","","M",""
"ve","11111121",10,1.4,0.3,60,0.001,0.5,21,"","","M","","M",""
"ve","11111122",10,1.4,0.3,60,0.001,0.5,22,"","","M","","M",""
"ve","11111123",10,1.4,0.3,60,0.001,0.5,23,"","","M","","M",""
"ve","11111124",10,1.4,0.3,60,0.001,0.5,24,"","","M","","M",""
"ve","11111125",10,1.4,0.3,60,0.001,0.5,25,"","","M","","M",""
"ve","11111126",10,1.4,0.3,60,0.001,0.5,26,"","","M","","M",""
"ve","11111127",10,1.4,0.3,60,0.001,0.5,27,"","","M","","M",""
"ve","11111128",10,1.4,0.3,60,0.001,0.5,28,"","","M","","M",""
"ve","11111129",10,1.4,0.3,60,0.001,0.5,29,"","","M","","M",""
"ve","11111130",10,1.4,0.3,60,0.001,0.5,30,"","","M","","M",""
"ve","12111101",10,0.9,0.3,60,0.001,0.5,1,"","","","","L",""
"ve","12111102",10,0.9,0.3,60,0.001,0.5,2,"","","","","L",""
"ve","12111103",10,0.9,0.3,60,0.001,0.5,3,"","","","","L",""
"ve","12111104",10,0.9,0.3,60,0.001,0.5,4,"","","","","L",""
"ve","12111105",10,0.9,0.3,60,0.001,0.5,5,"","","","","L",""
