Founder	Dispersal	TimeSpeciation	Competition	NicheEvolution
AtlRainForst	200.0000	35.0000	3.0000	0.0150
AtlRainForst	200.0000	35.0000	4.0000	0.0150
AtlRainForst	200.0000	35.0000	5.0000	0.0150
AtlRainForst	200.0000	40.0000	4.0000	0.0150
AtlRainForst	200.0000	40.0000	5.0000	0.0150
AtlRainForst	500.0000	35.0000	1.5000	0.0070
AtlRainForst	500.0000	35.0000	2.0000	0.0050
AtlRainForst	500.0000	35.0000	2.0000	0.0070
AtlRainForst	500.0000	35.0000	3.0000	0.0050
AtlRainForst	500.0000	35.0000	3.0000	0.0070
AtlRainForst	500.0000	35.0000	4.0000	0.0050
AtlRainForst	500.0000	35.0000	4.0000	0.0070
AtlRainForst	500.0000	35.0000	5.0000	0.0050
AtlRainForst	500.0000	35.0000	5.0000	0.0070
AtlRainForst	500.0000	40.0000	2.0000	0.0050
AtlRainForst	500.0000	40.0000	2.0000	0.0070
AtlRainForst	500.0000	40.0000	3.0000	0.0050
AtlRainForst	500.0000	40.0000	3.0000	0.0070
AtlRainForst	500.0000	40.0000	4.0000	0.0050
AtlRainForst	500.0000	40.0000	4.0000	0.0070
AtlRainForst	500.0000	40.0000	5.0000	0.0050
AtlRainForst	500.0000	40.0000	5.0000	0.0070
UpAndes	150.0000	35.0000	2.0000	0.0100
UpAndes	150.0000	35.0000	3.0000	0.0100
UpAndes	150.0000	35.0000	4.0000	0.0100
UpAndes	150.0000	35.0000	5.0000	0.0100
UpAndes	200.0000	35.0000	1.5000	0.0100
UpAndes	200.0000	35.0000	2.0000	0.0100
UpAndes	200.0000	35.0000	3.0000	0.0100
UpAndes	200.0000	35.0000	4.0000	0.0100
UpAndes	200.0000	35.0000	5.0000	0.0100
UpAndes	200.0000	40.0000	1.5000	0.0100
UpAndes	200.0000	40.0000	2.0000	0.0100
UpAndes	200.0000	40.0000	3.0000	0.0100
UpAndes	200.0000	40.0000	4.0000	0.0100
UpAndes	200.0000	40.0000	5.0000	0.0100
UpAndes	200.0000	45.0000	1.5000	0.0100
UpAndes	200.0000	45.0000	2.0000	0.0100
UpAndes	200.0000	45.0000	3.0000	0.0100
UpAndes	200.0000	45.0000	4.0000	0.0100
UpAndes	200.0000	45.0000	5.0000	0.0100
UpAndes	350.0000	35.0000	1.5000	0.0100
UpAndes	350.0000	35.0000	2.0000	0.0100
UpAndes	350.0000	35.0000	3.0000	0.0100
UpAndes	350.0000	35.0000	4.0000	0.0100
UpAndes	350.0000	35.0000	5.0000	0.0100
UpAndes	350.0000	40.0000	1.5000	0.0100
UpAndes	350.0000	40.0000	2.0000	0.0100
UpAndes	350.0000	40.0000	3.0000	0.0100
UpAndes	350.0000	40.0000	4.0000	0.0100
UpAndes	350.0000	40.0000	5.0000	0.0100
UpAndes	350.0000	45.0000	1.5000	0.0100
UpAndes	350.0000	45.0000	2.0000	0.0100
UpAndes	350.0000	45.0000	3.0000	0.0100
UpAndes	350.0000	45.0000	4.0000	0.0100
UpAndes	350.0000	45.0000	5.0000	0.0100
UpAndes	500.0000	35.0000	1.5000	0.0070
UpAndes	500.0000	35.0000	2.0000	0.0070
UpAndes	500.0000	35.0000	3.0000	0.0070
UpAndes	500.0000	35.0000	4.0000	0.0070
UpAndes	500.0000	35.0000	5.0000	0.0070
UpAndes	500.0000	40.0000	1.5000	0.0070
UpAndes	500.0000	40.0000	2.0000	0.0070
UpAndes	500.0000	40.0000	2.0000	0.0100
UpAndes	500.0000	40.0000	3.0000	0.0070
UpAndes	500.0000	40.0000	3.0000	0.0100
UpAndes	500.0000	40.0000	4.0000	0.0070
UpAndes	500.0000	40.0000	4.0000	0.0100
UpAndes	500.0000	40.0000	5.0000	0.0070
UpAndes	500.0000	40.0000	5.0000	0.0100
UpAndes	500.0000	45.0000	1.5000	0.0070
UpAndes	500.0000	45.0000	2.0000	0.0070
UpAndes	500.0000	45.0000	3.0000	0.0070
UpAndes	500.0000	45.0000	4.0000	0.0070
UpAndes	500.0000	45.0000	5.0000	0.0070
UpAndes	750.0000	35.0000	1.5000	0.0050
UpAndes	750.0000	35.0000	1.5000	0.0070
UpAndes	750.0000	35.0000	2.0000	0.0050
UpAndes	750.0000	35.0000	2.0000	0.0070
UpAndes	750.0000	35.0000	3.0000	0.0050
UpAndes	750.0000	35.0000	3.0000	0.0070
UpAndes	750.0000	35.0000	4.0000	0.0050
UpAndes	750.0000	35.0000	4.0000	0.0070
UpAndes	750.0000	35.0000	5.0000	0.0050
UpAndes	750.0000	35.0000	5.0000	0.0070
UpAndes	750.0000	40.0000	1.5000	0.0050
UpAndes	750.0000	40.0000	1.5000	0.0070
UpAndes	750.0000	40.0000	2.0000	0.0050
UpAndes	750.0000	40.0000	2.0000	0.0070
UpAndes	750.0000	40.0000	3.0000	0.0050
UpAndes	750.0000	40.0000	3.0000	0.0070
UpAndes	750.0000	40.0000	4.0000	0.0050
UpAndes	750.0000	40.0000	4.0000	0.0070
UpAndes	750.0000	40.0000	5.0000	0.0050
UpAndes	750.0000	40.0000	5.0000	0.0070
UpAndes	750.0000	45.0000	1.5000	0.0070
UpAndes	750.0000	45.0000	2.0000	0.0070
UpAndes	750.0000	45.0000	3.0000	0.0070
UpAndes	750.0000	45.0000	4.0000	0.0070
UpAndes	750.0000	45.0000	5.0000	0.0070
