"","dispersal","density","environment","speciationRate","fission","protracted","replicate","id"
"1",0,0,0,2,1,0,1,1
"2",1,0,0,2,1,0,1,2
"3",0,1,0,2,1,0,1,3
"4",1,1,0,2,1,0,1,4
"5",0,0,1,2,1,0,1,5
"6",1,0,1,2,1,0,1,6
"7",0,1,1,2,1,0,1,7
"8",1,1,1,2,1,0,1,8
"9",0,0,0,5,1,0,1,9
"10",1,0,0,5,1,0,1,10
"11",0,1,0,5,1,0,1,11
"12",1,1,0,5,1,0,1,12
"13",0,0,1,5,1,0,1,13
"14",1,0,1,5,1,0,1,14
"15",0,1,1,5,1,0,1,15
"16",1,1,1,5,1,0,1,16
"17",0,0,0,2,2,0,1,17
"18",1,0,0,2,2,0,1,18
"19",0,1,0,2,2,0,1,19
"20",1,1,0,2,2,0,1,20
"21",0,0,1,2,2,0,1,21
"22",1,0,1,2,2,0,1,22
"23",0,1,1,2,2,0,1,23
"24",1,1,1,2,2,0,1,24
"25",0,0,0,5,2,0,1,25
"26",1,0,0,5,2,0,1,26
"27",0,1,0,5,2,0,1,27
"28",1,1,0,5,2,0,1,28
"29",0,0,1,5,2,0,1,29
"30",1,0,1,5,2,0,1,30
"31",0,1,1,5,2,0,1,31
"32",1,1,1,5,2,0,1,32
"33",0,0,0,2,3,0,1,33
"34",1,0,0,2,3,0,1,34
"35",0,1,0,2,3,0,1,35
"36",1,1,0,2,3,0,1,36
"37",0,0,1,2,3,0,1,37
"38",1,0,1,2,3,0,1,38
"39",0,1,1,2,3,0,1,39
"40",1,1,1,2,3,0,1,40
"41",0,0,0,5,3,0,1,41
"42",1,0,0,5,3,0,1,42
"43",0,1,0,5,3,0,1,43
"44",1,1,0,5,3,0,1,44
"45",0,0,1,5,3,0,1,45
"46",1,0,1,5,3,0,1,46
"47",0,1,1,5,3,0,1,47
"48",1,1,1,5,3,0,1,48
"49",0,0,0,2,1,2,1,49
"50",1,0,0,2,1,2,1,50
"51",0,1,0,2,1,2,1,51
"52",1,1,0,2,1,2,1,52
"53",0,0,1,2,1,2,1,53
"54",1,0,1,2,1,2,1,54
"55",0,1,1,2,1,2,1,55
"56",1,1,1,2,1,2,1,56
"57",0,0,0,5,1,2,1,57
"58",1,0,0,5,1,2,1,58
"59",0,1,0,5,1,2,1,59
"60",1,1,0,5,1,2,1,60
"61",0,0,1,5,1,2,1,61
"62",1,0,1,5,1,2,1,62
"63",0,1,1,5,1,2,1,63
"64",1,1,1,5,1,2,1,64
"65",0,0,0,2,2,2,1,65
"66",1,0,0,2,2,2,1,66
"67",0,1,0,2,2,2,1,67
"68",1,1,0,2,2,2,1,68
"69",0,0,1,2,2,2,1,69
"70",1,0,1,2,2,2,1,70
"71",0,1,1,2,2,2,1,71
"72",1,1,1,2,2,2,1,72
"73",0,0,0,5,2,2,1,73
"74",1,0,0,5,2,2,1,74
"75",0,1,0,5,2,2,1,75
"76",1,1,0,5,2,2,1,76
"77",0,0,1,5,2,2,1,77
"78",1,0,1,5,2,2,1,78
"79",0,1,1,5,2,2,1,79
"80",1,1,1,5,2,2,1,80
"81",0,0,0,2,3,2,1,81
"82",1,0,0,2,3,2,1,82
"83",0,1,0,2,3,2,1,83
"84",1,1,0,2,3,2,1,84
"85",0,0,1,2,3,2,1,85
"86",1,0,1,2,3,2,1,86
"87",0,1,1,2,3,2,1,87
"88",1,1,1,2,3,2,1,88
"89",0,0,0,5,3,2,1,89
"90",1,0,0,5,3,2,1,90
"91",0,1,0,5,3,2,1,91
"92",1,1,0,5,3,2,1,92
"93",0,0,1,5,3,2,1,93
"94",1,0,1,5,3,2,1,94
"95",0,1,1,5,3,2,1,95
"96",1,1,1,5,3,2,1,96
"97",0,0,0,2,1,0,2,97
"98",1,0,0,2,1,0,2,98
"99",0,1,0,2,1,0,2,99
"100",1,1,0,2,1,0,2,100
"101",0,0,1,2,1,0,2,101
"102",1,0,1,2,1,0,2,102
"103",0,1,1,2,1,0,2,103
"104",1,1,1,2,1,0,2,104
"105",0,0,0,5,1,0,2,105
"106",1,0,0,5,1,0,2,106
"107",0,1,0,5,1,0,2,107
"108",1,1,0,5,1,0,2,108
"109",0,0,1,5,1,0,2,109
"110",1,0,1,5,1,0,2,110
"111",0,1,1,5,1,0,2,111
"112",1,1,1,5,1,0,2,112
"113",0,0,0,2,2,0,2,113
"114",1,0,0,2,2,0,2,114
"115",0,1,0,2,2,0,2,115
"116",1,1,0,2,2,0,2,116
"117",0,0,1,2,2,0,2,117
"118",1,0,1,2,2,0,2,118
"119",0,1,1,2,2,0,2,119
"120",1,1,1,2,2,0,2,120
"121",0,0,0,5,2,0,2,121
"122",1,0,0,5,2,0,2,122
"123",0,1,0,5,2,0,2,123
"124",1,1,0,5,2,0,2,124
"125",0,0,1,5,2,0,2,125
"126",1,0,1,5,2,0,2,126
"127",0,1,1,5,2,0,2,127
"128",1,1,1,5,2,0,2,128
"129",0,0,0,2,3,0,2,129
"130",1,0,0,2,3,0,2,130
"131",0,1,0,2,3,0,2,131
"132",1,1,0,2,3,0,2,132
"133",0,0,1,2,3,0,2,133
"134",1,0,1,2,3,0,2,134
"135",0,1,1,2,3,0,2,135
"136",1,1,1,2,3,0,2,136
"137",0,0,0,5,3,0,2,137
"138",1,0,0,5,3,0,2,138
"139",0,1,0,5,3,0,2,139
"140",1,1,0,5,3,0,2,140
"141",0,0,1,5,3,0,2,141
"142",1,0,1,5,3,0,2,142
"143",0,1,1,5,3,0,2,143
"144",1,1,1,5,3,0,2,144
"145",0,0,0,2,1,2,2,145
"146",1,0,0,2,1,2,2,146
"147",0,1,0,2,1,2,2,147
"148",1,1,0,2,1,2,2,148
"149",0,0,1,2,1,2,2,149
"150",1,0,1,2,1,2,2,150
"151",0,1,1,2,1,2,2,151
"152",1,1,1,2,1,2,2,152
"153",0,0,0,5,1,2,2,153
"154",1,0,0,5,1,2,2,154
"155",0,1,0,5,1,2,2,155
"156",1,1,0,5,1,2,2,156
"157",0,0,1,5,1,2,2,157
"158",1,0,1,5,1,2,2,158
"159",0,1,1,5,1,2,2,159
"160",1,1,1,5,1,2,2,160
"161",0,0,0,2,2,2,2,161
"162",1,0,0,2,2,2,2,162
"163",0,1,0,2,2,2,2,163
"164",1,1,0,2,2,2,2,164
"165",0,0,1,2,2,2,2,165
"166",1,0,1,2,2,2,2,166
"167",0,1,1,2,2,2,2,167
"168",1,1,1,2,2,2,2,168
"169",0,0,0,5,2,2,2,169
"170",1,0,0,5,2,2,2,170
"171",0,1,0,5,2,2,2,171
"172",1,1,0,5,2,2,2,172
"173",0,0,1,5,2,2,2,173
"174",1,0,1,5,2,2,2,174
"175",0,1,1,5,2,2,2,175
"176",1,1,1,5,2,2,2,176
"177",0,0,0,2,3,2,2,177
"178",1,0,0,2,3,2,2,178
"179",0,1,0,2,3,2,2,179
"180",1,1,0,2,3,2,2,180
"181",0,0,1,2,3,2,2,181
"182",1,0,1,2,3,2,2,182
"183",0,1,1,2,3,2,2,183
"184",1,1,1,2,3,2,2,184
"185",0,0,0,5,3,2,2,185
"186",1,0,0,5,3,2,2,186
"187",0,1,0,5,3,2,2,187
"188",1,1,0,5,3,2,2,188
