CellID,SpID,Abundance
505,6921,0
505,8039.05,0
505,8290,0
505,9971.15,0
505,10168.6,3
505,10171.5,0
505,10367,0
505,10367.8,0
505,11387.4,0
505,11534,0
505,13224,1
505,14215.2,0
505,14215.6,0
505,14243.4,1506
505,14618,0
505,14847.4,0
505,15400.1,1
505,15552.8,6855172
505,15751,107910
505,16135.2,0
505,16168.8,113703
505,16169.3,225878
505,16170.2,0
505,16178.2,4309913
505,16196.6,2013577
505,16270.4,990751
505,16383.5,35618
505,16400.7,344785
505,16415.5,0
505,16559.1,2063160
505,16627.9,6605213
505,16629.3,0
505,16672.1,72588
505,16711.8,290664
505,16712.4,10132
505,16738.7,806158
505,16745.8,580416
505,16857.7,5645176
505,17039.5,52033
505,17078.9,0
505,17080.9,8617700
505,17128.6,364378
505,17206,1419575
505,17356,113779
505,17509.9,2015149
505,17759.1,11857161
505,17902.3,10531
505,18062,209127
505,18063,214200
505,18145.5,39216
505,18171.9,642390
505,18218,158110
505,18219,161387
505,18346,682180
505,18556,0
505,18686,163719
505,18854,0
505,18855,0
505,19153,34533
505,19284,9448028
505,20175,0
505,20589,209273
505,20772,48551
505,21142,223968
505,21280,53649
505,21700,667267
505,21828,1996220
505,22250,1830230
505,22791,3294846
505,22913,0
505,26286,0
505,26287,0
505,26298,2172920
505,27272,2318222
505,27604,1631726
505,27645,0
505,27652,315415
505,27760,83891640
505,28277,2603819
505,29035,13563600
505,30157,6861230
505,31767,1462488
505,31768,1487030
505,31773,2463750
605,6921,0
605,8039.05,0
605,8290,0
605,9971.15,0
605,10168.6,1
605,10171.5,0
605,10367,0
605,10367.8,0
605,11387.4,558
605,11534,0
605,13224,7
605,14215.2,63
605,14215.6,0
605,14243.4,38343
605,14618,0
605,14847.4,422
605,15400.1,1710
605,15552.8,0
605,15751,10353
605,16135.2,0
605,16168.8,2536
605,16169.3,26985
605,16170.2,0
605,16178.2,145388
605,16196.6,46926
605,16270.4,32221
605,16383.5,2394
605,16400.7,11141
605,16415.5,0
605,16559.1,0
605,16627.9,470494
605,16629.3,0
605,16672.1,14683
605,16711.8,52994
605,16712.4,1164
605,16738.7,46103
605,16745.8,140134
605,16857.7,450915
605,17039.5,9188
605,17078.9,0
605,17080.9,755446
605,17128.6,73400
605,17206,0
605,17356,14549
605,17509.9,185705
605,17759.1,1449597
605,17902.3,1181
605,18062,0
605,18063,0
605,18145.5,8845
605,18171.9,155497
605,18218,38244
605,18219,39524
605,18346,86492
605,18556,0
605,18686,0
605,18854,0
605,18855,0
605,19153,4941
605,19284,5364670
605,20175,0
605,20589,63955
605,20772,15326
605,21142,83233
605,21280,22675
605,21700,339854
605,21828,781883
605,22250,0
605,22791,1638967
605,22913,0
605,26286,0
605,26287,0
605,26298,1047870
605,27272,1849216
605,27604,1209204
605,27645,0
605,27652,212700
605,27760,100734930
