CellID,SpID,Abundance
404,5303,0
404,5431,0
404,5595.53,122349
404,5763,1683
404,5764,1905
404,5798.85,17675
404,5805.43,2136
404,6000.94,0
404,6663.29,34
404,6756.49,32873
404,6850.53,105816
404,6966.16,12468
404,7051.28,55114
404,7135.83,18067
404,7189.3,11037
404,7265.59,0
404,7481.33,887
404,7567.8,54493
404,7583,28126
404,7584.78,387995
404,7665.33,58367
404,7883,0
404,8237.77,483031
404,8260.3,2491
404,8390.9,58260
404,8513,62031
404,8602.5,0
404,8606.8,0
404,8621.85,393206
404,8677.15,19023
404,9057.05,5465110
404,9059.8,216464
404,9060,236353
404,9061,271939
404,9576.85,0
404,9941.45,5729032
404,10002.8,166260
404,10184,79396
404,10244,1962880
404,10326.8,389360
404,10863.7,1070756
404,10930,500883
404,10931,539638
404,11138,180677
404,11190.8,8017230
404,11199.2,129642800
404,11261.5,8814040
404,11573,2895861
404,11772,616045
404,11841,506808
404,11864,44338190
404,11950.9,50885100
404,11951.1,4091771
404,12677,1071800
404,13128,1774886
404,13738,4122330
404,13739,4290450
404,13827,3667600
404,14596,3072225
404,14597,3161663
404,14639,16681820
404,15100,36602500
404,15101,46584100
404,15682,34586900
404,16155.6,39753320
404,16820.8,161
404,16915,16048
404,16936.1,1009796
404,17429,20285
404,17430,21591
404,17458,1570
404,18055.9,1740
504,5303,0
504,5431,0
504,5595.53,217783
504,5763,2293
504,5764,2305
504,5798.85,32045
504,5805.43,2140
504,6000.94,0
504,6663.29,14
504,6756.49,44107
504,6850.53,186738
504,6966.16,17892
504,7051.28,75238
504,7135.83,0
504,7189.3,632
504,7265.59,0
504,7481.33,1199
504,7567.8,9438
504,7583,31481
504,7584.78,695416
504,7665.33,1603
504,7883,0
504,8237.77,155770
504,8260.3,1309
504,8390.9,79326
504,8513,63922
504,8602.5,0
504,8606.8,0
504,8621.85,855657
504,8677.15,10693
504,9057.05,844983900
504,9059.8,3651386
504,9060,3035200
504,9061,3461270
504,9576.85,0
504,9941.45,76927300
504,10002.8,3565716
504,10184,1682369
504,10244,30620200
504,10326.8,8202330
504,10863.7,14262560
504,10930,10538590
504,10931,11176330
504,11138,0
504,11190.8,153562200
504,11199.2,355669100
504,11261.5,0
504,11573,9162702
504,11772,1536040
504,11841,1
504,11864,829
504,11950.9,3385
504,11951.1,26
504,12677,0
504,13128,46
504,13738,3370
504,13739,3498
504,13827,208
504,14596,386
504,14597,271
504,14639,0
504,15100,21046
504,15101,26728
504,15682,5471
504,16155.6,39143
504,16820.8,4
504,16915,1881
504,16936.1,0
504,17429,1118
504,17430,1110
504,17458,237
504,18055.9,464
604,5303,0
604,5431,0
604,5595.53,286764
604,5763,3090
604,5764,3346
604,5798.85,42320
604,5805.43,3029
604,6000.94,836
604,6663.29,12620
604,6756.49,63061
604,6850.53,338714
604,6966.16,27148
604,7051.28,134756
604,7135.83,0
604,7189.3,74382
604,7265.59,0
604,7481.33,1877
604,7567.8,71151
604,7583,72091
604,7584.78,1713829
604,7665.33,378920
604,7883,0
604,8237.77,992878
604,8260.3,1446
604,8390.9,143527
604,8513,198461
604,8602.5,0
604,8606.8,0
604,8621.85,1026440
604,8677.15,7605
604,9057.05,786650200
604,9059.8,4690087
604,9060,1954540
604,9061,2805300
604,9576.85,0
604,9941.45,99662200
604,10002.8,5581258
604,10184,2149712
604,10244,29082900
604,10326.8,11443540
604,10863.7,19649750
604,10930,13632190
604,10931,14682630
604,11138,0
604,11190.8,224915900
604,11199.2,538264200
604,11261.5,0
604,11573,2
604,11772,115
604,11841,0
604,11864,344
604,11950.9,2669
604,11951.1,0
604,12677,0
604,13128,29
604,13738,570
604,13739,529
604,13827,37
604,14596,71
604,14597,85
604,14639,0
604,15100,2533
604,15101,3215
604,15682,690
604,16155.6,7106
604,16820.8,4
604,16915,619
604,16936.1,0
604,17429,392
604,17430,450
604,17458,74
604,18055.9,117
704,5303,0
704,5431,0
704,5595.53,217705
704,5763,2034
704,5764,2099
704,5798.85,31442
704,5805.43,1111
704,6000.94,0
704,6663.29,35
704,6756.49,35794
704,6850.53,425704
704,6966.16,20480
704,7051.28,148910
704,7135.83,0
704,7189.3,8930
704,7265.59,0
704,7481.33,1571
704,7567.8,22524
704,7583,55871
704,7584.78,3554464
704,7665.33,19331
704,7883,0
704,8237.77,539960
704,8260.3,1412
704,8390.9,126844
704,8513,191848
704,8602.5,0
704,8606.8,0
704,8621.85,548283
704,8677.15,2130
704,9057.05,742356700
704,9059.8,4085182
704,9060,3565750
704,9061,4375010
704,9576.85,0
704,9941.45,91851000
704,10002.8,3541141
704,10184,2315980
704,10244,38721000
704,10326.8,9078140
704,10863.7,17621850
704,10930,14674890
704,10931,15893890
704,11138,0
704,11190.8,212533000
704,11199.2,461892800
704,11261.5,0
704,11573,0
704,11772,87
704,11841,0
704,11864,762
704,11950.9,4188
704,11951.1,0
704,12677,0
704,13128,1
704,13738,105
704,13739,122
704,13827,8
704,14596,25
704,14597,39
704,14639,0
704,15100,700
704,15101,951
704,15682,187
704,16155.6,2276
704,16820.8,1
704,16915,306
704,16936.1,0
704,17429,196
704,17430,204
704,17458,16
704,18055.9,33
804,5303,832
804,5431,175
804,5595.53,121974
804,5763,1034
804,5764,1112
804,5798.85,17423
804,5805.43,965
804,6000.94,244
804,6663.29,2881
804,6756.49,21321
804,6850.53,316624
804,6966.16,13990
804,7051.28,84056
804,7135.83,14766
804,7189.3,26846
804,7265.59,0
804,7481.33,1036
804,7567.8,29566
804,7583,39504
804,7584.78,1609755
804,7665.33,176137
804,7883,0
804,8237.77,548586
804,8260.3,1093
804,8390.9,100952
804,8513,142427
804,8602.5,191134
804,8606.8,2643562
804,8621.85,426412
804,8677.15,803
804,9057.05,834674500
804,9059.8,5085470
804,9060,5196440
804,9061,6311120
804,9576.85,79899900
804,9941.45,162318500
804,10002.8,6616380
804,10184,3186127
804,10244,62853700
804,10326.8,14707540
804,10863.7,30961450
804,10930,17452890
804,10931,12559630
804,11138,0
804,11190.8,1061
804,11199.2,2768
804,11261.5,79
804,11573,0
804,11772,195
804,11841,1
804,11864,1468
804,11950.9,8063
804,11951.1,0
804,12677,22
804,13128,0
804,13738,40
804,13739,52
804,13827,5
804,14596,3
804,14597,10
804,14639,0
804,15100,291
804,15101,420
804,15682,82
804,16155.6,1194
804,16820.8,0
804,16915,189
804,16936.1,35920
804,17429,90
804,17430,112
804,17458,17
804,18055.9,21
405,5303,0
405,5431,0
405,5595.53,217967
405,5763,1601
405,5764,1807
405,5798.85,0
405,5805.43,0
405,6000.94,0
405,6663.29,15
405,6756.49,0
405,6850.53,135088
405,6966.16,7364
405,7051.28,0
405,7135.83,6548
405,7189.3,419
405,7265.59,0
405,7481.33,587
405,7567.8,5923
405,7583,0
405,7584.78,555698
405,7665.33,0
405,7883,0
405,8237.77,0
405,8260.3,1929
405,8390.9,75921
405,8513,2495
405,8602.5,0
405,8606.8,0
405,8621.85,748931
405,8677.15,10979
405,9057.05,3563408
405,9059.8,89712
405,9060,11376
405,9061,13140
405,9576.85,0
405,9941.45,1107651
405,10002.8,58603
405,10184,18147
405,10244,38528
405,10326.8,214426
405,10863.7,156746
405,10930,99771
405,10931,86727
405,11138,28195
405,11190.8,1153849
405,11199.2,14680180
405,11261.5,809047
405,11573,259334
405,11772,18356
405,11841,14488
405,11864,3501212
405,11950.9,3783623
405,11951.1,302229
405,12677,32827
405,13128,0
405,13738,280103
405,13739,288180
405,13827,73956
405,14596,316371
405,14597,324156
405,14639,1652275
405,15100,0
405,15101,0
405,15682,749893
405,16155.6,7437570
405,16820.8,1293480
405,16915,663408
405,16936.1,672512000
405,17429,5361200
405,17430,5509290
405,17458,7706380
405,18055.9,940757000
505,5303,0
505,5431,0
505,5595.53,867261
505,5763,11102
505,5764,11535
505,5798.85,115278
505,5805.43,13693
505,6000.94,1210
505,6663.29,632
505,6756.49,90072
505,6850.53,555128
505,6966.16,65126
505,7051.28,433910
505,7135.83,32859
505,7189.3,1326
505,7265.59,5087
505,7481.33,5336
505,7567.8,19986
505,7583,69274
505,7584.78,1836890
505,7665.33,6040
505,7883,5451
505,8237.77,2010761
505,8260.3,3633
505,8390.9,381658
505,8513,94598
505,8602.5,0
505,8606.8,0
505,8621.85,867619100
505,8677.15,14627000
505,9057.05,24895540
505,9059.8,12442130
505,9060,4603590
505,9061,5215770
505,9576.85,0
505,9941.45,394443500
505,10002.8,8932660
505,10184,6410970
505,10244,24066600
505,10326.8,20500682
505,10863.7,51051730
505,10930,13008085
505,10931,51628
505,11138,78
505,11190.8,3616
505,11199.2,10493
505,11261.5,35
505,11573,0
505,11772,227
505,11841,0
505,11864,590
505,11950.9,3902
505,11951.1,4
505,12677,615
505,13128,6
505,13738,1278
505,13739,1433
505,13827,128
505,14596,237
505,14597,145
505,14639,334
505,15100,13605
505,15101,17452
505,15682,3930
505,16155.6,26699
505,16820.8,31
505,16915,7355
505,16936.1,887943
505,17429,5203
505,17430,5438
505,17458,829
505,18055.9,2156
605,5303,0
605,5431,0
605,5595.53,2014063
605,5763,16808
605,5764,18656
605,5798.85,260329
605,5805.43,18708
605,6000.94,2846
605,6663.29,23304
605,6756.49,116549
605,6850.53,1629353
605,6966.16,101329
605,7051.28,1147297
605,7135.83,0
605,7189.3,68966
605,7265.59,92826
605,7481.33,9450
605,7567.8,120063
605,7583,184037
605,7584.78,6309030
605,7665.33,571506
605,7883,12505
605,8237.77,5175900
605,8260.3,3426
605,8390.9,797466
605,8513,370719
605,8602.5,0
605,8606.8,0
605,8621.85,877785700
605,8677.15,4932480
605,9057.05,21929000
605,9059.8,10358990
605,9060,1869850
605,9061,2360440
605,9576.85,0
605,9941.45,333164300
605,10002.8,8056440
605,10184,5853720
605,10244,57429500
605,10326.8,34337830
605,10863.7,49604840
605,10930,20144620
605,10931,5754
605,11138,0
605,11190.8,1526
605,11199.2,3926
