CellID,SpID,Abundance
404,9474,327594
404,9479.75,37
404,9532.05,19649
404,9896,0
404,10430.2,399472
404,10531,349
404,10532,351
404,10732.2,3884958
404,10902,62590
404,11219.8,23
404,11338,16132
404,11344.1,547617
404,11451,0
404,11622.7,29033
404,11698.7,8
404,11883.5,0
404,12005.5,1293783
404,12065.2,65613
404,12349,987
404,12460.4,27061
404,12491,36586
404,12635,0
404,12640,560
404,12855.9,26126
404,12942.4,56659
404,13408,0
404,13868.2,66341
404,13994.9,1582496
404,14010.5,117637
404,14239.4,396348
404,14239.6,32829
404,14265.6,0
404,14308.9,234477
404,14983.7,323056
404,15576.4,72816
404,15940.6,60626
404,16057.3,2143589
404,16076,643245
404,16337,231650
404,16597,112581
404,16598,117109
404,16685.6,0
404,17307,26689
404,17424,0
404,17768,0
404,18107.1,219324
404,18715.1,248776
404,19391,451694
404,19663,44294400
404,19928,0
404,20066,764590
404,20092,226900
404,22542,9863440
404,22543,12827400
404,24681,20712800
404,25497,15836700
404,25498,21550400
404,26332,4289680
404,28823,0
404,31072,71862
404,31487,1779
404,31774,363
504,9474,0
504,9479.75,80
504,9532.05,45842
504,9896,0
504,10430.2,0
504,10531,0
504,10532,0
504,10732.2,3517235
504,10902,0
504,11219.8,19
504,11338,23309
504,11344.1,503736
504,11451,0
504,11622.7,49039
504,11698.7,19
504,11883.5,0
504,12005.5,1578886
504,12065.2,70150
504,12349,1294
504,12460.4,16629
504,12491,34271
504,12635,0
504,12640,355
504,12855.9,33360
504,12942.4,45599
504,13408,0
504,13868.2,61867
504,13994.9,1503478
504,14010.5,131815
504,14239.4,375743
504,14239.6,30833
504,14265.6,0
504,14308.9,221196
504,14983.7,324265
504,15576.4,72554
504,15940.6,53300
504,16057.3,1956389
504,16076,566743
504,16337,203296
504,16597,98279
504,16598,102221
504,16685.6,0
504,17307,23958
504,17424,0
504,17768,0
504,18107.1,182997
504,18715.1,206266
504,19391,380750
504,19663,37170600
504,19928,0
504,20066,644355
504,20092,192191
504,22542,8239230
504,22543,10725800
504,24681,17255800
504,25497,13256700
504,25498,17673900
504,26332,4364970
504,28823,0
504,31072,28275239
504,31487,2451
504,31774,65160
604,9474,0
604,9479.75,72
604,9532.05,37315
604,9896,0
604,10430.2,0
604,10531,0
604,10532,0
604,10732.2,2733315
604,10902,0
604,11219.8,3
604,11338,8617
604,11344.1,447067
604,11451,0
604,11622.7,14782
604,11698.7,2
604,11883.5,0
604,12005.5,1349014
604,12065.2,45904
604,12349,334
604,12460.4,12316
604,12491,28372
604,12635,0
604,12640,208
604,12855.9,111018
604,12942.4,22882
604,13408,0
604,13868.2,44363
604,13994.9,1126541
604,14010.5,99431
604,14239.4,257443
604,14239.6,20557
604,14265.6,0
604,14308.9,153632
604,14983.7,318169
604,15576.4,77260
604,15940.6,52334
604,16057.3,2198394
604,16076,563850
604,16337,218895
604,16597,104534
604,16598,107575
604,16685.6,0
604,17307,25806
604,17424,0
604,17768,0
604,18107.1,191570
604,18715.1,215661
604,19391,386830
604,19663,37349240
604,19928,0
604,20066,670056
604,20092,204639
604,22542,8549280
604,22543,11067700
604,24681,17529400
604,25497,13386700
604,25498,17851900
604,26332,4507610
604,28823,0
604,31072,28764480
604,31487,1311
604,31774,322334
704,9474,0
704,9479.75,117
704,9532.05,53414
704,9896,0
704,10430.2,0
704,10531,0
704,10532,0
704,10732.2,3299281
704,10902,0
704,11219.8,17
704,11338,51066
704,11344.1,560220
704,11451,0
704,11622.7,882216
704,11698.7,0
704,11883.5,0
704,12005.5,2285435
704,12065.2,171674
704,12349,4392
704,12460.4,19177
704,12491,20804
704,12635,0
704,12640,82
704,12855.9,217911
704,12942.4,96737
704,13408,0
704,13868.2,31388
704,13994.9,839806
704,14010.5,133831
704,14239.4,195911
704,14239.6,18180
704,14265.6,0
704,14308.9,114398
704,14983.7,229358
704,15576.4,59539
704,15940.6,32436
704,16057.3,959971
704,16076,256592
704,16337,146186
704,16597,67524
704,16598,69464
704,16685.6,0
704,17307,16658
704,17424,0
704,17768,0
704,18107.1,128452
704,18715.1,142964
704,19391,188741
704,19663,21105420
704,19928,0
704,20066,397797
704,20092,93101
704,22542,5021530
704,22543,6328320
704,24681,9997190
704,25497,7466880
704,25498,9723720
704,26332,2439310
704,28823,0
704,31072,27425640
704,31487,14672800
704,31774,14672390
804,9474,186030
804,9479.75,123
804,9532.05,26360
804,9896,6168
804,10430.2,477950
804,10531,424
804,10532,414
804,10732.2,3091974
804,10902,0
804,11219.8,2
804,11338,23987
804,11344.1,565367
804,11451,63444
804,11622.7,36990
804,11698.7,1
804,11883.5,0
804,12005.5,1560685
804,12065.2,58386
804,12349,202
804,12460.4,922
804,12491,32520
804,12635,942
804,12640,31
804,12855.9,20930
804,12942.4,24387
804,13408,584
804,13868.2,74702
804,13994.9,1521875
804,14010.5,578
804,14239.4,308164
804,14239.6,25318
804,14265.6,783
804,14308.9,195993
804,14983.7,85639
804,15576.4,21804
804,15940.6,31409
804,16057.3,2127861
804,16076,588108
804,16337,166450
804,16597,79685
804,16598,82536
804,16685.6,0
804,17307,20386
804,17424,0
804,17768,0
804,18107.1,184620
804,18715.1,207385
804,19391,432113
804,19663,38604400
804,19928,0
804,20066,677528
804,20092,225151
804,22542,8781650
804,22543,11416800
804,24681,18584700
804,25497,14302800
804,25498,19226800
804,26332,4338190
804,28823,0
804,31072,22899
804,31487,1091
804,31774,772
405,9474,655489
405,9479.75,765
405,9532.05,73734
405,9896,0
405,10430.2,939539
405,10531,865
405,10532,969
405,10732.2,8274350
405,10902,224477
405,11219.8,182508
405,11338,155388
405,11344.1,0
405,11451,0
405,11622.7,884912
405,11698.7,319381
405,11883.5,0
405,12005.5,0
405,12065.2,322006
405,12349,0
405,12460.4,2758330
405,12491,52382
405,12635,0
405,12640,18906
405,12855.9,499060
405,12942.4,0
405,13408,0
405,13868.2,103169
405,13994.9,0
405,14010.5,284476
405,14239.4,0
405,14239.6,42418
405,14265.6,0
405,14308.9,293246
405,14983.7,479203
405,15576.4,107491
405,15940.6,75806
405,16057.3,2191706
405,16076,634311
405,16337,247264
405,16597,0
405,16598,0
405,16685.6,0
405,17307,26259
405,17424,0
405,17768,0
405,18107.1,208956
405,18715.1,236070
405,19391,0
405,19663,39672580
405,19928,0
405,20066,686845
405,20092,193658
405,22542,8824340
405,22543,11441800
405,24681,18441300
405,25497,14077300
405,25498,18646500
405,26332,4694690
405,28823,0
405,31072,0
405,31487,22949000
405,31774,7762691
505,9474,223702000
505,9479.75,1841504
505,9532.05,204504500
505,9896,0
505,10430.2,152846100
505,10531,2984490
505,10532,3157690
505,10732.2,1013064200
505,10902,33201970
505,11219.8,60
505,11338,2
505,11344.1,1912
505,11451,0
505,11622.7,46
505,11698.7,8
505,11883.5,0
505,12005.5,25934
505,12065.2,639
505,12349,479
505,12460.4,0
505,12491,1024
505,12635,0
505,12640,4
505,12855.9,75928
505,12942.4,126
505,13408,0
505,13868.2,223
505,13994.9,4826
505,14010.5,840
505,14239.4,283
505,14239.6,121
505,14265.6,0
505,14308.9,294
505,14983.7,78
505,15576.4,51
505,15940.6,33
505,16057.3,286
505,16076,386
505,16337,69
505,16597,22
505,16598,26
505,16685.6,0
505,17307,4
505,17424,377
505,17768,282
505,18107.1,340
505,18715.1,2169
505,19391,8
505,19663,9230
505,19928,101
505,20066,327
505,20092,316
505,22542,29034
505,22543,36697
505,24681,22177
505,25497,10234
505,25498,12426
505,26332,2305
505,28823,0
505,31072,11400
505,31487,1917
505,31774,856
605,9474,0
605,9479.75,210
605,9532.05,365559
605,9896,0
605,10430.2,0
605,10531,0
605,10532,0
605,10732.2,2756294
605,10902,0
605,11219.8,799
605,11338,71269
605,11344.1,1261490
605,11451,0
605,11622.7,880789
605,11698.7,392
605,11883.5,62347
605,12005.5,8879280
605,12065.2,390553
605,12349,93206
605,12460.4,0
605,12491,69495
605,12635,0
605,12640,1999
605,12855.9,340147
605,12942.4,201803
605,13408,0
605,13868.2,98180
605,13994.9,4175193
605,14010.5,446740
605,14239.4,984166
605,14239.6,112135
605,14265.6,0
605,14308.9,498784
605,14983.7,327737
605,15576.4,189778
605,15940.6,157092
605,16057.3,2993694
605,16076,1086464
605,16337,338563
605,16597,286927
605,16598,308544
605,16685.6,0
605,17307,70364
605,17424,847315
605,17768,1499590
605,18107.1,839031
605,18715.1,722614
605,19391,1642577
605,19663,214428300
605,19928,1476940
605,20066,1709640
605,20092,1053719
605,22542,19503700
605,22543,23541400
605,24681,19449700
605,25497,22153400
605,25498,21235500
605,26332,1765
605,28823,0
605,31072,9707
605,31487,808
605,31774,294
705,9474,253143200
705,9479.75,2070392
705,9532.05,246205300
705,9896,56468300
705,10430.2,198749500
