"","spp.name","region"
"1",14505,1
"2",22245,1
"3",32640,1
"4",35347,1
"5",43926,1
"6",44284,1
"7",47127,1
"8",50735,1
"9",52835,1
"10",53361,1
"11",57811,1
"12",58096,2
"13",59384,1
"14",59923,1
"15",61346,1
"16",61733,1
"17",61762,1
"18",62173,3
"19",65734,1
"20",69847,1
"21",70598,1
"22",72126,1
"23",74747,1
"24",75431,2
"25",75473,1
"26",75909,2
"27",77090,2
"28",77990,1
"29",79159,1
"30",80466,1
"31",80582,1
"32",81112,2
"33",81295,3
"34",81510,1
"35",83439,3
"36",83535,3
"37",84099,2
"38",84118,2
"39",84535,2
"40",85117,1
"41",85473,1
"42",85928,1
"43",85976,1
"44",86049,1
"45",86376,1
"46",87250,3
"47",87575,1
"48",87918,5
"49",87940,1
"50",88886,1
"51",88909,2
"52",89430,1
"53",89580,1
"54",90008,1
"55",90125,1
"56",90755,1
"57",91778,1
"58",92211,2
"59",92241,1
"60",92247,1
"61",92629,1
"62",92847,1
"63",92994,1
"64",93627,1
"65",94396,2
"66",94930,1
"67",95115,2
"68",95324,5
"69",95483,3
"70",95583,1
"71",96234,3
"72",96370,3
"73",96376,3
"74",96489,1
"75",96621,2
"76",97005,1
"77",97329,2
"78",97415,1
"79",97417,2
"80",97424,3
"81",97565,4
"82",97593,1
"83",97659,2
"84",97982,3
"85",98097,1
"86",98496,1
"87",98829,1
"88",98897,1
"89",98945,3
"90",99121,3
"91",99122,2
"92",99134,5
"93",99301,1
"94",99559,4
"95",99737,2
"96",99929,5
"97",100013,1
"98",100015,4
"99",100283,1
"100",100387,1
"101",100419,2
"102",100562,1
"103",100568,1
"104",100719,1
"105",100815,3
"106",100896,7
"107",101187,2
"108",101576,2
"109",101579,2
"110",101674,3
"111",101952,3
"112",101996,2
"113",102230,2
"114",102271,2
"115",102277,1
"116",102383,5
"117",102422,5
"118",102532,3
"119",102553,2
"120",103026,2
"121",103215,2
"122",103235,2
"123",103307,2
"124",103316,2
"125",103417,2
"126",103433,2
"127",103530,2
"128",103615,2
"129",103712,3
"130",103724,2
"131",103977,2
"132",103997,1
"133",104239,2
"134",104277,1
"135",104474,2
"136",104499,3
"137",104780,3
"138",105119,1
"139",105215,1
"140",105556,3
"141",105566,1
"142",105594,2
"143",105792,2
"144",105896,6
"145",106007,3
"146",106074,5
"147",106198,5
"148",106262,4
"149",106308,5
"150",106334,1
"151",106504,3
"152",106560,1
"153",106738,3
"154",106775,2
"155",106990,1
"156",107001,3
"157",107172,6
"158",107189,3
"159",107200,2
"160",107289,3
"161",107353,1
"162",107368,1
"163",107433,1
"164",107446,2
"165",107478,2
"166",107577,2
"167",107836,5
"168",107952,2
"169",107987,3
"170",108084,1
"171",108347,2
"172",108453,4
"173",108504,1
"174",108518,9
"175",108543,1
"176",108590,1
"177",108853,3
"178",108885,7
"179",108920,4
"180",109141,6
"181",109143,1
"182",109150,1
"183",109272,1
"184",109391,1
"185",109498,2
"186",109556,2
"187",109578,2
"188",109634,1
"189",109881,2
"190",109982,2
"191",110144,1
"192",110362,2
"193",110445,6
"194",110466,2
"195",110503,1
"196",110553,7
"197",110589,1
"198",110628,1
"199",110720,3
"200",110781,1
"201",110806,1
"202",110819,2
"203",110856,1
"204",110947,10
"205",110956,7
"206",111014,2
"207",111151,2
"208",111154,6
"209",111328,3
"210",111452,2
"211",111495,3
"212",111518,2
"213",111520,2
"214",111560,4
"215",111587,2
"216",111777,2
"217",111797,1
"218",111800,2
"219",111850,1
"220",111866,5
"221",111947,5
"222",112212,2
"223",112234,9
"224",112282,1
"225",112291,2
"226",112299,2
"227",112593,1
"228",112643,9
"229",112723,1
"230",112750,1
"231",112793,1
"232",112803,2
"233",112812,4
"234",112817,3
"235",112852,1
"236",112930,10
"237",112992,3
"238",113025,1
"239",113044,8
"240",113100,3
"241",113191,2
"242",113213,6
"243",113245,3
"244",113293,1
"245",113303,2
"246",113307,1
"247",113333,2
"248",113428,1
"249",113567,5
"250",113605,5
"251",113647,3
"252",113679,4
"253",113727,7
"254",113752,1
"255",113761,4
"256",113833,9
"257",113836,3
"258",113919,3
"259",113922,2
"260",114028,1
"261",114057,2
"262",114072,2
"263",114073,3
"264",114074,4
"265",114076,5
"266",114188,6
"267",114228,2
"268",114277,1
"269",114293,4
"270",114298,1
"271",114423,7
"272",114481,2
"273",114502,8
"274",114504,1
"275",114570,5
"276",114582,5
"277",114599,1
"278",114618,7
"279",114647,4
"280",114657,1
"281",114685,1
"282",114692,6
"283",114693,1
"284",114833,3
"285",114933,2
"286",114938,1
"287",114939,4
"288",114949,3
"289",114958,5
"290",115051,3
"291",115059,8
"292",115062,5
"293",115161,2
"294",115281,7
"295",115282,4
"296",115326,8
"297",115351,7
"298",115381,4
"299",115463,8
"300",115492,2
"301",115566,2
"302",115600,8
"303",115625,6
"304",115636,4
"305",115705,3
"306",115742,6
"307",115751,1
"308",115788,1
"309",115822,5
"310",115823,7
"311",115857,6
"312",115858,2
"313",115881,4
"314",115909,1
"315",115931,9
"316",115963,2
"317",115984,2
"318",116050,6
"319",116076,5
"320",116104,6
"321",116108,1
"322",116139,3
"323",116183,3
"324",116188,9
"325",116273,5
"326",116278,1
"327",116326,3
"328",116375,8
"329",116424,8
"330",116438,8
"331",116446,9
"332",116459,4
"333",116518,1
"334",116527,10
"335",116539,9
"336",116597,5
"337",116600,4
"338",116610,1
"339",116618,4
"340",116628,1
"341",116629,6
"342",116637,3
"343",116676,2
"344",116681,7
"345",116757,3
"346",116824,7
"347",116831,9
"348",116846,2
"349",116886,6
"350",116911,1
"351",116944,4
"352",116976,3
"353",117086,1
"354",117095,1
"355",117123,7
"356",117146,5
"357",117173,10
"358",117210,6
"359",117223,7
"360",117247,6
"361",117279,1
"362",117290,2
"363",117303,2
"364",117305,3
"365",117342,4
"366",117357,4
"367",117362,2
"368",117382,8
"369",117421,8
"370",117452,2
"371",117458,8
"372",117491,5
"373",117519,6
"374",117591,5
"375",117594,9
"376",117598,3
"377",117599,3
"378",117608,4
"379",117623,2
"380",117642,6
"381",117645,2
"382",117680,9
"383",117700,7
"384",117768,2
"385",117777,1
"386",117786,6
"387",117804,4
"388",117852,2
"389",117853,2
"390",117857,2
"391",117862,9
"392",117875,6
"393",117915,8
"394",117974,2
"395",117992,4
"396",118028,5
"397",118031,2
"398",118087,6
"399",118094,1
"400",118105,3
"401",118120,2
"402",118153,2
"403",118179,10
"404",118216,5
"405",118218,5
"406",118221,9
"407",118258,5
"408",118338,2
"409",118353,4
"410",118358,2
"411",118365,8
"412",118366,5
"413",118375,1
"414",118389,3
"415",118394,3
"416",118413,9
"417",118426,6
"418",118428,1
"419",118444,5
"420",118461,8
"421",118462,3
"422",118465,6
"423",118479,6
"424",118486,4
"425",118503,5
"426",118532,9
"427",118556,3
"428",118599,5
"429",118620,6
"430",118626,3
"431",118676,4
"432",118680,2
"433",118690,1
"434",118722,9
"435",118791,6
"436",118806,2
"437",118853,9
"438",118856,3
"439",118863,5
"440",118864,10
"441",118880,4
"442",118912,1
"443",118921,1
"444",118930,9
"445",118931,1
"446",118945,4
"447",118972,5
"448",118996,3
"449",118997,10
"450",119035,4
"451",119052,10
"452",119056,3
"453",119059,2
"454",119076,4
"455",119078,3
"456",119089,7
"457",119100,3
"458",119112,6
"459",119118,3
"460",119142,1
"461",119170,8
"462",119199,4
"463",119226,2
"464",119234,10
"465",119243,8
"466",119255,3
"467",119293,8
"468",119297,9
"469",119337,7
"470",119347,9
"471",119352,3
"472",119359,2
"473",119368,4
"474",119375,7
"475",119401,3
"476",119409,4
"477",119422,6
"478",119450,2
"479",119460,3
"480",119481,3
"481",119487,2
"482",119509,2
"483",119540,3
"484",119544,5
"485",119555,8
"486",119563,3
"487",119575,6
"488",119581,4
"489",119593,3
"490",119594,4
"491",119611,7
"492",119619,2
"493",119620,8
"494",119632,6
"495",119635,6
"496",119647,8
"497",119651,8
"498",119689,6
"499",119702,8
"500",119712,1
"501",119725,4
"502",119747,5
"503",119764,5
"504",119783,8
"505",119805,6
"506",119811,6
"507",119812,8
"508",119822,3
"509",119846,1
"510",119915,4
"511",119931,4
"512",119936,5
"513",119970,5
"514",119985,1
"515",119996,10
"516",120069,7
"517",120086,2
"518",120136,8
"519",120149,8
"520",120154,4
"521",120199,2
"522",120230,8
"523",120255,1
"524",120262,2
"525",120284,7
"526",120291,2
"527",120405,3
