SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
5875,0,2,1,4,0.28,230,-0.107,0.04401,0.26,1,0
8343,4,6,4,2,0.4,270,-0.112,0.04601,0.66,0,3
9264,1,3,2,1,0.2,760,-0.33,0.01701,0.26,0,3
10033,0,4,2,3,0.82,490,-0.98,0.04201,0.62,1,3
12249,4,6,3,1,0.23,890,-0.605,0.02701,0.36,0,3
13453,2,7,4,4,0.34,170,-0.006,0.02201,0.45,1,3
13699,5,5,1,2,0.91,570,-0.486,0.04201,0.52,0,3
14231,4,7,4,1,0.43,370,-0.148,0.02501,0.46,0,3
14232,4,7,4,1,0.43,370,-0.148,0.02501,0.46,0,0
14803.8,1,6,2,3,0.84,671.3,-0.08924,0.049275,0.3,0,2
14984,3,6,2,2,0.77,160,-0.602,0.04001,0.55,1,3
15210,6,7,3,4,0.14,50,-0.507,0.02701,0.45,1,3
15211,6,7,3,4,0.14,50,-0.507,0.02701,0.45,1,0
15346,2,2,2,4,0.6,950,-0.489,0.03601,0.58,0,0
15439,1,3,2,3,0.1,750,-0.379,0.02401,0.34,0,3
15440,1,3,2,3,0.1,750,-0.379,0.02401,0.34,0,0
15598.2,3,6,3,4,0.71,427.4,-0.3564,0.030215,0.295,1,2
15664.3,4,7,1,1,0.28,378.9,-0.55796,0.016975,0.275,0,2
15789.6,3,4,1,1,0.25,426,-1.18938,0.022795,0.475,0,2
15801.6,0,5,1,3,0.93,229.8,-0.1809,0.022485,0.245,0,2
15850.3,2,3,1,2,0.76,413,-0.3807,0.025225,0.305,0,2
15859,3,5,2,2,0.75,170,-0.971,0.02001,0.37,1,3
16409.7,2,6,3,2,0.66,343.8,-0.3483,0.037595,0.365,0,2
16498,2,5,1,2,0.08,271.6,-0.2465,0.004445,0.345,0,2
16609.4,2,6,1,4,0.71,287,-0.2835,0.028025,0.335,1,2
16687,0,3,2,2,0.58,261.3,-0.1943,0.008435,0.255,0,2
16708.4,3,4,3,3,0.66,383.3,-0.2552,0.008225,0.285,0,2
16888.1,1,6,2,4,0.51,315,-0.61568,0.029475,0.395,0,2
17303,1,6,1,4,0.08,211.9,-0.3944,0.003835,0.245,1,2
17326,3,7,1,2,0.89,380,-0.432,0.04901,0.54,1,3
17326,1,3,4,3,0.06,720,-0.694,0.04701,0.62,0,3
