SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
8856,2,5,2,1,0.98,100,-0.659,0.03201,0.54,0,3
9259,5,6,1,4,0.75,230,-0.127,0.03001,0.32,1,0
9684,4,5,1,2,0.5,670,-0.399,0.04601,0.28,1,0
10000,0,5,4,3,0.91,830,-0.4,0.03701,0.49,1,0
10497.8,1,6,2,2,0.43,486.6,-0.07259,0.045225,0.46,0,2
11882,7,7,1,4,0.52,320,-0.71,0.01301,0.37,0,0
12022.9,2,5,2,3,0.64,423.4,-0.05795,0.018495,0.44,0,2
12236,7,6,3,3,0.34,720,-0.83,0.04001,0.34,0,0
13012.2,4,6,2,3,0.72,39,-0.30699,0.045095,0.57,0,2
13195,2,6,4,2,0.65,630,-0.808,0.04201,0.32,0,3
13196,2,6,4,2,0.65,630,-0.808,0.04201,0.32,0,0
13202.5,4,5,4,4,0.68,43.8,-0.36005,0.045435,0.32,0,2
13263,0,4,4,4,0.86,16.3,-0.43964,0.05,0.66,0,2
13409.1,1,3,4,3,0.6,40.2,-0.26909,0.05,0.38,0,2
13440.3,1,5,3,3,0.07,42.2,-0.36005,0.05,0.29,0,2
13588.9,3,5,3,4,0.13,33.4,-0.38632,0.029365,0.58,0,2
13603.6,1,5,1,4,0.41,21.2,-0.36876,0.016595,0.42,0,2
13751.7,3,5,3,4,0.21,16.3,-0.25393,0.05,0.48,0,2
13951.8,1,3,2,4,0.86,41.7,-0.53439,0.05,0.68,0,2
14282.4,5,6,2,3,0.58,37.3,-0.45859,0.030415,0.46,0,2
14644.9,4,5,1,3,0.91,26.9,-0.21982,0.047715,0.54,0,2
14794.1,6,7,3,2,0.07,17.9,-0.25393,0.05,0.32,0,2
14816.8,2,5,3,3,0.05,35.7,-0.43585,0.05,0.5,0,2
14834,3,5,3,1,0.7,20,-0.5,0.04201,0.85,0,3
15044.5,2,5,3,1,1,20.5,-0.53818,0.05,0.41,0,2
15078.6,1,2,4,4,0.51,17,-0.28046,0.05,0.44,0,2
15324.6,5,6,4,1,0.71,29.5,-0.88298,0.019935,0.41,0,2
15915.3,7,7,4,4,0.05,326.7,-0.31144,0.007245,0.355,0,2
15981,0,5,1,4,0.36,10,-0.061,0.04101,0.52,0,3
16093.4,1,4,3,4,0.54,38.2,-0.43206,0.045045,0.48,0,2
16223.4,1,7,3,4,0.59,20.9,-0.20087,0.05,0.39,0,2
17029,0,3,1,3,0.6,290,-0.731,0.04501,0.3,0,3
17030,0,3,1,3,0.6,290,-0.731,0.04501,0.3,0,0
18382,2,3,2,2,0.56,450,-0.294,0.04001,0.34,0,3
18383,2,3,2,2,0.56,450,-0.294,0.04001,0.34,0,0
19227,2,7,1,2,0.37,740,-0.279,0.03401,0.28,1,0
19957,1,6,4,3,0.81,340,-0.061,0.03301,0.36,0,3
19958,1,6,4,3,0.81,340,-0.061,0.03301,0.36,0,0
20593,4,7,1,2,0.57,550,-0.886,0.02901,0.26,1,0
20735,4,6,1,3,0.71,850,-0.212,0.03701,0.38,0,3
20736,4,6,1,3,0.71,850,-0.212,0.03701,0.38,0,0
20747,2,5,1,4,0.6,500,-0.888,0.02601,0.52,0,3
20825,2,7,3,2,0.73,730,-0.895,0.02301,0.5,1,3
21134,4,6,2,2,0.36,590,-0.037,0.04801,0.67,1,3
21171,1,5,4,2,0.74,710,-0.506,0.02001,0.51,1,3
21172,1,5,4,2,0.74,710,-0.506,0.02001,0.51,1,0
21505,2,7,4,3,1,920,-0.421,0.04801,0.78,1,3
21863,3,5,1,4,0.17,790,-0.081,0.02401,0.41,1,0
21988,4,6,1,4,0.81,120,-0.187,0.03101,0.41,0,3
21989,4,6,1,4,0.81,120,-0.187,0.03101,0.41,0,0
22054,3,5,3,2,0.95,30,-0.439,0.02101,0.5,1,3
22144,5,7,2,2,0.53,690,-0.467,0.04301,0.42,1,0
22623,2,6,2,3,0.35,120,-0.203,0.00201,0.27,0,3
22758,4,4,4,3,0.4,420,-0.659,0.01301,0.49,0,3
23066,4,7,2,2,0.01,680,-0.582,0.02501,0.55,1,3
23474,2,4,2,1,0.51,850,-0.708,0.04701,0.38,0,0
23767,5,6,3,1,0.19,230,-0.1,0.04201,0.5,1,3
23768,5,6,3,1,0.19,230,-0.1,0.04201,0.5,1,0
24320,3,6,1,4,0.91,640,-0.588,0.04401,0.72,1,3
25754,5,7,3,4,0.8,600,-0.584,0.03901,0.53,1,3
25983,2,7,1,3,0.84,30,-0.379,0.04701,0.48,1,3
26593,6,6,4,2,0.37,840,-0.756,0.01301,0.48,1,3
26674,5,7,1,1,0.31,480,-0.223,0.04301,0.39,0,3
26675,5,7,1,1,0.31,480,-0.223,0.04301,0.39,0,0
27137,2,7,1,1,0.92,220,-0.229,0.00901,0.35,0,3
27442,3,7,4,2,0.27,490,-0.744,0.04401,0.29,1,0
27748,3,4,4,3,0.11,150,-0.599,0.01301,0.36,1,3
27779,1,7,2,3,0.75,450,-0.192,0.01201,0.33,0,3
28148,1,6,4,2,0.48,960,-0.28,0.03701,0.32,1,0
28156,6,6,1,1,0.32,800,-0.481,0.02401,0.36,0,3
29577,2,7,4,3,0.02,20,-0.833,0.01901,0.36,1,3
29578,2,7,4,3,0.02,20,-0.833,0.01901,0.36,1,0
31039,4,4,3,3,0.44,480,-0.341,0.03301,0.31,0,0
