SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
6216,4,6,1,1,0.8,420,-0.994,0.04601,0.59,0,3
6865,0,6,1,3,0.09,120,-0.978,0.04201,0.52,1,0
7540,0,5,3,4,0.6,520,-0.091,0.03401,0.44,1,0
8998,1,7,2,4,1,910,-0.318,0.01801,0.46,0,3
11208.8,1,6,1,3,0.82,79.2,-1.10565,0.045335,0.455,0,2
12295,4,4,1,2,0.29,60,-0.999,0.02201,0.49,0,3
12602,6,7,3,2,0.73,880,-0.284,0.04601,0.78,0,3
12738.7,3,4,3,1,0.53,38.1,-0.7182,0.05,0.625,1,2
12822,2,3,3,2,0.45,990,-0.939,0.03201,0.81,1,3
12861,0,2,1,1,0.06,500,-0.721,0.03301,0.38,1,0
12879,0,5,4,2,0.92,730,-0.61,0.01301,0.48,0,3
14020,4,7,3,2,0.78,670,-0.001,0.04301,0.53,1,0
14095.6,1,7,2,2,0.72,295.1,-1.2483,0.035265,0.835,0,2
14233,3,5,1,2,0.85,250,-0.285,0.02501,0.58,0,3
14368,1,2,1,2,0.35,190,-0.554,0.04301,0.63,1,3
16124.8,1,5,3,4,0.58,336.8,-0.41128,0.030695,0.51,0,2
16337.5,5,5,4,3,0.58,634.7,-1.2474,0.016165,0.44,0,2
16359,1,2,1,3,0.53,10,-0.914,0.04401,0.64,0,3
16689,2,5,3,4,0.11,144.9,-1.15444,0.036765,0.53,0,2
16755.6,2,3,3,3,0.62,622.6,-1.01907,0.021895,0.53,0,2
17102,6,6,4,1,0.38,530,-0.601,0.03801,0.49,1,0
17280,4,5,4,1,0.05,710,-0.014,0.01601,0.41,0,3
17669,1,3,2,2,0.37,230,-0.449,0.01801,0.52,1,3
17671,3,3,4,1,0.99,100,-0.831,0.02601,0.42,0,3
17672,3,3,4,1,0.99,100,-0.831,0.02601,0.42,0,0
17865.6,3,7,4,3,0.16,316.7,-0.56791,0.028895,0.79,1,2
18102.7,0,3,3,4,0.58,281.2,-0.79135,0.023035,0.51,0,2
18131,5,7,1,3,0.86,490,-0.3,0.01101,0.64,1,3
18743.6,3,5,2,4,0.67,201,-1.01656,0.034835,0.24,1,2
19763,0,7,3,2,0.39,860,-0.281,0.02701,0.54,1,3
19887,0,4,4,3,0.83,930,-0.55,0.04501,0.37,1,3
19888,0,4,4,3,0.83,930,-0.55,0.04501,0.37,1,0
20101,1,3,1,1,0.79,60,-0.945,0.04601,0.45,1,3
20102,1,3,1,1,0.79,60,-0.945,0.04601,0.45,1,0
20660,3,3,2,1,0.43,990,-0.914,0.04101,0.62,0,3
20789,4,7,3,4,0.29,260,-0.92,0.04301,0.68,1,3
21437,5,5,1,4,0.67,90,-0.254,0.04801,0.46,0,3
21438,5,5,1,4,0.67,90,-0.254,0.04801,0.46,0,0
22012,1,4,2,4,0.09,900,-0.649,0.03001,0.42,1,0
22188,2,2,2,3,0.22,110,-0.591,0.04201,0.83,0,3
23612,4,7,4,3,0.52,840,-0.506,0.03801,0.39,1,0
23726,2,6,1,3,0.53,750,-0.538,0.00301,0.38,0,3
24199,5,5,1,1,0.83,380,-0.905,0.04401,0.58,1,3
24276,0,6,4,1,0.57,560,-0.991,0.01501,0.35,0,3
24277,0,6,4,1,0.57,560,-0.991,0.01501,0.35,0,0
26124,3,5,2,2,0.08,820,-0.168,0.01701,0.66,1,3
26800,4,5,2,2,0.81,850,-0.291,0.03601,0.56,0,3
27784,3,6,4,4,0.98,710,-0.871,0.03101,0.46,1,3
27785,3,6,4,4,0.98,710,-0.871,0.03101,0.46,1,0
28137,4,5,2,4,0.85,210,-0.855,0.04701,0.69,0,3
28717,2,2,2,2,0.21,560,-0.061,0.02301,0.52,0,3
28790,1,4,2,3,0.33,740,-0.383,0.01601,0.47,1,3
30763,3,6,2,2,0.79,250,-0.931,0.04201,0.54,1,3
30764,3,6,2,2,0.79,250,-0.931,0.04201,0.54,1,0
30819,4,4,4,1,0.09,920,-0.514,0.04201,0.62,0,3
31535,3,6,3,1,0.49,460,-0.945,0.01301,0.36,1,3
31536,3,6,3,1,0.49,460,-0.945,0.01301,0.36,1,0
31691,3,4,4,4,0.54,390,-0.776,0.03101,0.36,0,3
31692,3,4,4,4,0.54,390,-0.776,0.03101,0.36,0,0
