"","spp.name","region"
"1",16079,10
"2",16160,10
"3",16846,10
"4",17006,7
"5",17006,6
"6",17088,8
"7",17088,9
"8",18377,8
"9",18613,10
"10",19119,9
"11",19119,10
"12",19306,10
"13",19470,10
"14",19775,10
"15",19792,10
"16",20014,7
"17",20031,9
"18",20031,8
"19",20150,4
"20",20150,3
"21",20177,10
"22",20196,9
"23",20224,10
"24",20260,10
"25",20292,10
"26",20847,5
"27",20970,10
"28",20979,10
"29",21018,10
"30",21190,8
"31",21190,9
"32",21365,10
"33",21367,10
"34",21394,5
"35",21420,8
"36",21420,9
"37",21422,6
"38",21422,4
"39",21486,8
"40",21486,7
"41",21578,10
"42",21585,10
"43",21617,10
"44",21635,9
"45",21635,7
"46",21635,8
"47",21660,10
"48",21763,10
"49",21763,9
"50",22015,10
"51",22056,10
"52",22063,9
"53",22079,6
"54",22145,7
"55",22232,6
"56",22232,7
"57",22246,8
"58",22308,6
"59",22309,9
"60",22317,7
"61",22317,6
"62",22328,10
"63",22344,9
"64",22364,9
"65",22364,8
"66",22377,9
"67",22377,8
"68",22398,10
"69",22415,9
"70",22415,8
"71",22449,10
"72",22454,9
"73",22462,7
"74",22462,6
"75",22467,9
"76",22467,8
"77",22485,10
"78",22500,10
"79",22556,4
"80",22556,3
"81",22587,9
"82",22587,10
"83",22609,9
"84",22609,10
"85",22620,9
"86",22681,7
"87",22681,6
"88",22683,7
"89",22683,8
"90",22701,8
"91",22701,7
"92",22710,10
"93",22734,10
"94",22735,10
"95",22760,8
"96",22807,10
"97",22868,10
"98",22927,10
"99",22967,10
"100",22971,7
"101",22971,8
"102",22979,9
"103",22993,10
"104",22995,9
"105",23036,2
"106",23036,1
"107",23051,7
"108",23051,6
"109",23052,6
"110",23052,7
"111",23054,7
"112",23058,10
"113",23066,10
"114",23069,6
"115",23069,7
"116",23115,8
"117",23119,5
"118",23124,7
"119",23124,8
"120",23128,6
"121",23154,6
"122",23154,5
"123",23165,9
"124",23165,8
"125",23170,10
"126",23170,9
"127",23196,10
"128",23200,4
"129",23200,5
"130",23201,9
"131",23201,8
"132",23215,8
"133",23215,7
"134",23219,7
"135",23219,6
"136",23241,3
"137",23241,2
"138",23249,8
"139",23286,10
"140",23307,10
"141",23308,7
"142",23308,8
"143",23316,10
"144",23329,8
"145",23329,9
"146",23366,4
"147",23366,6
"148",23366,5
"149",23377,6
"150",23377,5
"151",23383,9
"152",23386,4
"153",23439,10
"154",23443,5
"155",23443,6
"156",23446,6
"157",23446,5
"158",23452,2
"159",23462,4
"160",23464,7
"161",23464,8
"162",23468,9
"163",23473,10
"164",23491,7
"165",23491,6
"166",23495,10
"167",23513,8
"168",23513,9
"169",23534,3
"170",23546,10
"171",23546,9
"172",23550,6
"173",23550,5
"174",23556,8
"175",23556,9
"176",23585,4
"177",23585,5
"178",23624,10
"179",23631,5
"180",23635,5
"181",23635,4
"182",23636,10
"183",23651,6
"184",23651,5
"185",23666,3
"186",23686,8
"187",23686,9
"188",23698,9
"189",23698,8
"190",23711,9
"191",23714,9
"192",23717,10
"193",23733,10
"194",23735,10
"195",23740,9
"196",23746,7
"197",23750,6
"198",23750,7
"199",23754,6
"200",23764,10
"201",23785,9
"202",23787,7
"203",23798,6
"204",23822,3
"205",23822,4
"206",23823,9
"207",23824,9
"208",23834,10
"209",23836,5
"210",23836,4
"211",23843,9
"212",23850,7
"213",23850,8
"214",23852,2
