model,simID,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
hs,6501,tropical,3.655086631,1.65E-06,4.51E-05,1.728773572,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6502,tropical,4.721238996,5.66E-06,0.000265647,9.743087535,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6503,tropical,6.728533634,4.29E-06,8.25E-06,2.988728063,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6504,tropical,10.0820779,4.50E-06,0.005955798,6.345897586,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6505,tropical,3.01681931,7.74E-07,3.91E-07,2.05562191,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6506,tropical,9.98389685,7.55E-05,1.57E-07,4.839950173,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6507,tropical,10.44675269,4.06E-07,3.33E-05,8.477059246,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6508,tropical,7.607977925,2.50E-05,7.81E-05,7.957909979,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6509,tropical,7.291140439,1.06E-05,0.001572243,1.98391772,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6510,tropical,1.617862705,1.35E-06,0.000187165,7.115317934,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6511,tropical,3.059745749,3.14E-05,0.005280095,1.209252539,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6512,tropical,2.765567525,7.39E-07,3.62E-05,7.497122492,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6513,tropical,7.870228467,1.08E-08,2.66E-07,10.7837807,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6514,tropical,4.841037182,8.15E-06,0.009415699,9.425044592,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6515,tropical,8.6984142,7.35E-06,1.02E-05,9.42785842,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6516,tropical,5.976992421,5.62E-08,0.003007679,4.874521626,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6517,tropical,8.176185083,3.84E-06,0.002422658,8.930711021,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6518,tropical,10.91906095,1.47E-06,3.04E-06,5.061965591,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6519,tropical,4.800351794,2.19E-07,4.60E-07,3.533489051,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6520,tropical,8.774452213,3.56E-06,2.14E-06,5.19303989,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6521,tropical,10.34705231,2.07E-05,1.07E-07,5.954995329,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6522,tropical,3.121425213,6.85E-06,0.001253167,9.582459569,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6523,tropical,7.516737661,2.48E-07,7.47E-07,8.322648535,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6524,tropical,2.25555096,3.26E-08,0.001642112,10.74428491,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6525,tropical,3.672206687,3.57E-07,6.82E-07,2.000549097,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6526,tropical,4.861140925,5.16E-05,0.000660841,9.32590837,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6527,tropical,1.133903332,1.65E-05,3.93E-05,5.505541779,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6528,tropical,4.823879571,1.08E-05,2.31E-06,9.504591358,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6529,tropical,9.696908457,6.75E-05,5.20E-06,6.697515437,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6530,tropical,4.403489967,9.45E-05,0.000335256,10.61542514,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6531,tropical,5.820801155,2.67E-06,9.07E-05,10.54750734,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6532,tropical,6.995658254,1.31E-08,2.22E-05,3.837795089,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6533,tropical,5.93541307,2.22E-07,4.81E-06,8.396064978,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6534,tropical,2.862176014,1.29E-07,0.006905373,1.707425757,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6535,tropical,9.273733186,2.94E-08,0.000169516,10.00119547,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6536,tropical,7.684667382,1.49E-08,9.58E-07,2.334205726,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6537,tropical,8.942398607,3.03E-07,6.11E-06,6.558860777,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6538,tropical,2.079436259,2.23E-07,3.67E-05,7.004080325,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6539,tropical,8.23710946,4.95E-08,0.002600062,2.32961039,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6540,tropical,5.112744296,3.07E-06,5.80E-07,6.093123373,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6541,tropical,9.209462941,3.90E-07,1.42E-06,4.670499076,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6542,tropical,7.470601938,6.65E-05,6.53E-07,1.033045474,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6543,tropical,8.829327623,4.11E-06,0.00011796,1.479798603,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6544,tropical,6.530363116,2.07E-07,3.22E-05,9.820484502,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6545,tropical,6.297195802,6.15E-08,8.72E-07,9.235170401,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6546,tropical,8.893562317,2.89E-08,1.09E-05,5.13030901,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6547,tropical,1.233312023,9.64E-05,8.16E-05,10.21733218,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6548,tropical,5.77230065,3.29E-07,3.50E-06,5.774029334,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6549,tropical,8.323137387,1.77E-06,2.54E-05,5.749944236,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6550,tropical,7.927315565,8.53E-06,0.004977072,7.57836067,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6551,tropical,5.776196221,3.04E-05,1.70E-07,2.633204538,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6552,tropical,9.612094768,1.94E-06,4.72E-05,1.951943712,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6553,tropical,5.380971072,1.11E-08,1.63E-05,9.615147923,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6554,tropical,3.44797277,4.22E-05,0.003402729,3.398791697,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6555,tropical,1.706790471,1.21E-05,0.002542213,6.55404132,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6556,tropical,1.994661602,3.39E-07,6.55E-07,9.494065951,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6557,tropical,4.162717072,2.38E-08,0.000576705,4.496475806,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6558,tropical,6.186342632,1.58E-08,1.03E-05,10.75738595,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6559,tropical,7.620050764,1.93E-05,6.09E-05,9.694055302,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6560,tropical,5.068301872,2.08E-05,2.52E-07,8.54124051,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6561,tropical,10.12875924,4.16E-06,3.83E-07,3.2367342,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6562,tropical,3.936033728,3.40E-08,0.004226324,8.698164654,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6563,tropical,5.590657263,2.33E-07,0.002478684,9.747135843,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6564,tropical,4.323946742,8.42E-06,6.55E-07,1.437931081,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6565,tropical,7.508704671,4.26E-05,4.55E-05,2.997607071,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6566,tropical,3.580167807,6.09E-06,0.004456161,9.537423583,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6567,tropical,5.785452483,9.25E-08,4.25E-06,7.522541284,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6568,tropical,8.663106706,3.77E-06,6.37E-07,9.693320192,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6569,tropical,1.842469144,1.33E-07,0.005604535,9.136365875,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6570,tropical,9.7532133,6.77E-05,2.05E-05,4.614476379,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6571,tropical,4.390729378,4.30E-08,1.27E-06,1.90895846,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6572,tropical,9.394403502,4.71E-07,1.02E-07,6.746552905,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6573,tropical,4.466834892,1.02E-07,0.000124728,7.547304136,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6574,tropical,4.337749308,2.39E-08,1.03E-05,9.222047763,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6575,tropical,5.763512451,2.05E-05,0.003163465,5.555755151,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6576,tropical,9.921983358,1.26E-06,3.38E-05,10.84328898,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6577,tropical,9.643394706,4.69E-06,0.000428978,8.503983781,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6578,tropical,4.899895435,4.30E-07,1.37E-07,2.33555687,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6579,tropical,8.773206988,2.35E-05,7.89E-06,3.151735127,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
